name,pop,VC,PC,state
Rainbow City,9546,2.55,12.1,AL
Southside,8774,1.8,10.8333,AL
Mountain Brook,20373,0.75,12.55,AL
Margaret,4870,1.73333,5.96667,AL
Helena,19387,0.766667,12.1667,AL
Vestavia Hills,34368,2.13333,17.4333,AL
Daleville,5096,1.76667,16,AL
Pleasant Grove,10105,1.33333,11.2333,AL
Satsuma,6153,1.56667,20.2,AL
Pelham,23785,1.36667,19.3,AL
Daphne,26618,1.83333,18.1667,AL
Glencoe,5151,2.6,15.9667,AL
Alabaster,33501,3.56667,25.3667,AL
Moody,5130,2.13333,21.7667,AL
Brent,4853,29.3667,26.9333,AL
Fairhope,21688,3.43333,22.9,AL
Auburn,65585,0.566667,29.1333,AL
Athens,26177,2.3,NA,AL
Hartselle,14385,3.06667,NA,AL
Spanish Fort,8923,NA,NA,AL
Hamilton,6611,3.5,28.3,AL
Oneonta,6646,2.6,32.8,AL
Northport,25353,3.5,30.5,AL
Roanoke,5914,6.9,22,AL
Enterprise,28464,4.5,28.4,AL
Prattville,35697,2.3,34.2,AL
Albertville,21428,1.1,37.4,AL
Tuscumbia,8370,3.1,33.6,AL
Gardendale,13907,6.8,25,AL
Saraland,14704,3.5,33.3,AL
Trussville,22096,5.1,29.6,AL
Irondale,12486,5.9,28,AL
Orange Beach,6116,2.5,37,AL
Homewood,25523,2.9,37.5,AL
Cullman,15470,2.1,40.7,AL
Hueytown,15367,4.6,34.6,AL
Gulf Shores,12014,2,41.4,AL
Bay Minette,9304,7.8,26.9,AL
Foley,18740,2.6,40.3,AL
Brewton,5212,5.9,33.6,AL
Jacksonville,12534,6.8,34.5,AL
Fultondale,9312,4.9,39.3,AL
Oxford,21149,3.2,43.9,AL
Wetumpka,8377,3.3,43.7,AL
Phenix City,36668,6.4,36.2,AL
Opelika,30822,5.5,39.4,AL
Decatur,54207,4.2,42.6,AL
Millbrook,15410,2.9,47.2,AL
Demopolis,6770,7.5,35.6,AL
Florence,39925,5.2,41.7,AL
Eufaula,11905,6.3,39.4,AL
Tuscaloosa,101764,5.1,43.4,AL
Boaz,9678,7.6,37.6,AL
Montgomery,198662,6.1,42.7,AL
Dothan,68530,9.8,40.8,AL
Mobile,245475,6.6,49.3,AL
Sylacauga,12186,6.3,50.4,AL
Valley,9230,5.9,52.3,AL
Ozark,14358,10.3,43.1,AL
Sheffield,8914,8.2,50,AL
Muscle Shoals,14143,6.1,56.6,AL
Talladega,15341,8.1,52.5,AL
Childersburg,4870,13.1,40.5,AL
Prichard,21615,12.2,43,AL
Calera,14334,18.5,29.9,AL
Lincoln,6725,10.6,50,AL
Andalusia,8753,9.4,53.4,AL
Scottsboro,14443,13.4,46.5,AL
Guntersville,8462,6.1,65,AL
Greenville,7564,14.4,45.2,AL
Troy,19159,15.8,50.2,AL
Jasper,13512,5.5,76.6,AL
Alexander City,14548,21.6,41.9,AL
Gadsden,35204,10.6,70.9,AL
Tarrant,6175,17.7,59.6,AL
Birmingham,210564,19.1,63.1,AL
Lanett,6245,14.1,78.8,AL
Fairfield,10625,21.1,80.5,AL
Anniston,21592,29.9,78.5,AL
Unalaska,4546,3.53333,7.9,AK
Sitka,8588,1.8,20.6667,AK
Homer,5797,1.93333,34.6333,AK
Palmer,7403,3.33333,30.3667,AK
Soldotna,4731,6.06667,45.2667,AK
Ketchikan,8300,3,49.4,AK
Fairbanks,31635,6.1,42.8,AK
Bethel,6509,15.2,8.8,AK
Kodiak,5995,8,43.2,AK
North Slope Borough,9743,15.2,9.1,AK
Juneau,31922,8.3,48.6,AK
Wasilla,10522,5.8,60.5,AK
Kenai,7888,7.9,71.1,AK
Anchorage,291992,13.1,49.3,AK
Cave Springs,4981,0.766667,9.53333,AR
Greenwood,9454,2.03333,3.93333,AR
Gentry,3842,2.16667,8.53333,AR
Bella Vista,28798,2.2,6.43333,AR
Pottsville,3246,2.73333,11.3667,AR
Austin,3508,1,3.05,AR
Elkins,3111,2.06667,6.9,AR
Piggot,3575,2.06667,19.3,AR
Vilonia,4648,0.866667,14.9333,AR
Lowell,9522,1.9,12.4,AR
Dumas,4179,3.96667,18.0333,AR
Brookland,3582,1.63333,21.7333,AR
Farmington,7032,1.45,6.6,AR
White Hall,4987,1.3,14.0333,AR
Cabot,26459,2.03333,16.9667,AR
Haskell,4649,1.36667,2.56667,AR
Bentonville,51607,1.76667,15.1667,AR
Centerton,14791,3.56667,10.1667,AR
Walnut Ridge,5013,3.46667,17.6,AR
Cherokee Village,4637,1.6,18.4667,AR
Maumelle,18356,2.6,17.8,AR
McGehee,3775,2.6,17.7,AR
Gosnell,3225,5.9,10.2,AR
Booneville,3837,1.3,24,AR
Johnson,3716,2.4,21.5,AR
Pea Ridge,5873,3.4,19.1,AR
Prairie Grove,5921,1.9,23.8,AR
De Queen,6588,2.9,23.5,AR
Barling,4972,4.8,18.5,AR
Warren,5608,4.5,23.2,AR
Heber Springs,6929,2.6,28.7,AR
Arkadelphia,10647,4.2,24,AR
Dardanelle,4535,3.5,27.3,AR
Ashdown,4389,3.6,27.3,AR
Ward,5278,7,20.1,AR
Rogers,68026,4.3,28.3,AR
Gravette,3328,5.4,25.2,AR
Batesville,10782,4.3,28.8,AR
Russellville,29455,3.9,30.7,AR
Berryville,5470,2.6,34.9,AR
Clarksville,9679,2.7,36,AR
Sheridan,4922,3,35.1,AR
Waldron,3375,4.1,32,AR
Beebe,8268,3.5,33.9,AR
Mena,5546,2.5,37.5,AR
Nashville,4454,4,35,AR
Monticello,9630,5.5,31.3,AR
Springdale,80895,4.8,33.4,AR
Bryant,20738,1.5,42.9,AR
Morrilton,6633,1.4,43.4,AR
Sherwood,31284,5.8,31.3,AR
Conway,66720,5.4,33.4,AR
Van Buren,23608,5.7,32.7,AR
Harrison,13100,5,35.7,AR
Paris,3379,9.2,26,AR
Mountain Home,12315,1.8,47.9,AR
North Little Rock,66424,7.4,34.4,AR
Jonesboro,77134,5.5,40.7,AR
Lonoke,4247,8,34.1,AR
Pocahontas,6478,4.9,44.9,AR
Fayetteville,87008,5.7,43.3,AR
Texarkana,30300,6.6,41.5,AR
Crossett,4920,5.3,45.3,AR
Hope,9744,7.7,40.2,AR
Alma,5772,6.9,42.4,AR
Wynne,7907,8.9,41.1,AR
Marion,12426,10.1,40.2,AR
Fort Smith,88290,8,48.3,AR
Newport,7654,8.8,46.8,AR
Trumann,7071,7.9,51.5,AR
Fordyce,3852,11.9,40,AR
Camden,10880,11.7,44.9,AR
Jacksonville,28530,11.6,46.3,AR
Marianna,3492,8,59.3,AR
Hot Springs,37006,5.2,70,AR
Helena-West Helena,10477,15,45,AR
Blytheville,13843,9.9,60.5,AR
Forrest City,14144,9.3,62.4,AR
Pine Bluff,42195,16.1,54,AR
Little Rock,199288,14.5,65.5,AR
West Memphis,24668,19.7,51.2,AR
Osceola,6819,23.2,46,AR
Florence,25987,0.9,4.86667,AZ
San Luis,33074,0.9,14.4667,AZ
Oro Valley,44844,0.5,14.1667,AZ
Gilbert,247463,0.866667,13.4333,AZ
Sahuarita,29896,1.06667,12.4333,AZ
Maricopa,48660,1.93333,11.9333,AZ
Surprise,136611,1.03333,17.4333,AZ
Lake Havasu City,54678,2.13333,19.8333,AZ
Prescott Valley,45337,1.76667,20.5667,AZ
Marana,46447,0.833333,24.6,AZ
Buckeye,71318,0.933333,17.3333,AZ
Apache Junction,41245,2.26667,22.1,AZ
Scottsdale,254961,1.6,22.5667,AZ
Peoria,170177,2.26667,20.2,AZ
Chandler,255986,2.36667,22.5333,AZ
