21	Hamilton	6,611	3.5	28.3
22	Oneonta	6,646	2.6	32.8
23	Northport	25,353	3.5	30.5
24	Roanoke	5,914	6.9	22
25	Enterprise	28,464	4.5	28.4
26	Prattville	35,697	2.3	34.2
27	Albertville	21,428	1.1	37.4
28	Tuscumbia	8,370	3.1	33.6
29	Gardendale	13,907	6.8	25
30	Saraland	14,704	3.5	33.3
31	Trussville	22,096	5.1	29.6
32	Irondale	12,486	5.9	28
33	Orange Beach	6,116	2.5	37
34	Homewood	25,523	2.9	37.5
35	Cullman	15,470	2.1	40.7
36	Hueytown	15,367	4.6	34.6
37	Gulf Shores	12,014	2	41.4
38	Bay Minette	9,304	7.8	26.9
39	Foley	18,740	2.6	40.3
40	Brewton	5,212	5.9	33.6
41	Jacksonville	12,534	6.8	34.5
42	Fultondale	9,312	4.9	39.3
43	Oxford	21,149	3.2	43.9
44	Wetumpka	8,377	3.3	43.7
45	Phenix City	36,668	6.4	36.2
46	Opelika	30,822	5.5	39.4
47	Decatur	54,207	4.2	42.6
48	Millbrook	15,410	2.9	47.2
49	Demopolis	6,770	7.5	35.6
50	Florence	39,925	5.2	41.7
51	Eufaula	11,905	6.3	39.4
52	Tuscaloosa	101,764	5.1	43.4
53	Boaz	9,678	7.6	37.6
54	Montgomery	198,662	6.1	42.7
55	Dothan	68,530	9.8	40.8
56	Mobile	245,475	6.6	49.3
57	Sylacauga	12,186	6.3	50.4
58	Valley	9,230	5.9	52.3
59	Ozark	14,358	10.3	43.1
60	Sheffield	8,914	8.2	50
61	Muscle Shoals	14,143	6.1	56.6
62	Talladega	15,341	8.1	52.5
63	Childersburg	4,870	13.1	40.5
64	Prichard	21,615	12.2	43
65	Calera	14,334	18.5	29.9
66	Lincoln	6,725	10.6	50
67	Andalusia	8,753	9.4	53.4
68	Scottsboro	14,443	13.4	46.5
69	Guntersville	8,462	6.1	65
70	Greenville	7,564	14.4	45.2
71	Troy	19,159	15.8	50.2
72	Jasper	13,512	5.5	76.6
73	Alexander City	14,548	21.6	41.9
74	Gadsden	35,204	10.6	70.9
75	Tarrant	6,175	17.7	59.6
76	Birmingham	210,564	19.1	63.1
77	Lanett	6,245	14.1	78.8
78	Fairfield	10,625	21.1	80.5
79	Anniston	21,592	29.9	78.5
