21	Maumelle	18,356	2.6	17.8
22	McGehee	3,775	2.6	17.7
23	Gosnell	3,225	5.9	10.2
24	Booneville	3,837	1.3	24
25	Johnson	3,716	2.4	21.5
26	Pea Ridge	5,873	3.4	19.1
27	Prairie Grove	5,921	1.9	23.8
28	De Queen	6,588	2.9	23.5
29	Barling	4,972	4.8	18.5
30	Warren	5,608	4.5	23.2
31	Heber Springs	6,929	2.6	28.7
32	Arkadelphia	10,647	4.2	24
33	Dardanelle	4,535	3.5	27.3
34	Ashdown	4,389	3.6	27.3
35	Ward	5,278	7	20.1
36	Rogers	68,026	4.3	28.3
37	Gravette	3,328	5.4	25.2
38	Batesville	10,782	4.3	28.8
39	Russellville	29,455	3.9	30.7
40	Berryville	5,470	2.6	34.9
41	Clarksville	9,679	2.7	36
42	Sheridan	4,922	3	35.1
43	Waldron	3,375	4.1	32
44	Beebe	8,268	3.5	33.9
45	Mena	5,546	2.5	37.5
46	Nashville	4,454	4	35
47	Monticello	9,630	5.5	31.3
48	Springdale	80,895	4.8	33.4
49	Bryant	20,738	1.5	42.9
50	Morrilton	6,633	1.4	43.4
51	Sherwood	31,284	5.8	31.3
52	Conway	66,720	5.4	33.4
53	Van Buren	23,608	5.7	32.7
54	Harrison	13,100	5	35.7
55	Paris	3,379	9.2	26
56	Mountain Home	12,315	1.8	47.9
57	North Little Rock	66,424	7.4	34.4
58	Jonesboro	77,134	5.5	40.7
59	Lonoke	4,247	8	34.1
60	Pocahontas	6,478	4.9	44.9
61	Fayetteville	87,008	5.7	43.3
62	Texarkana	30,300	6.6	41.5
63	Crossett	4,920	5.3	45.3
64	Hope	9,744	7.7	40.2
65	Alma	5,772	6.9	42.4
66	Wynne	7,907	8.9	41.1
67	Marion	12,426	10.1	40.2
68	Fort Smith	88,290	8	48.3
69	Newport	7,654	8.8	46.8
70	Trumann	7,071	7.9	51.5
71	Fordyce	3,852	11.9	40
72	Camden	10,880	11.7	44.9
73	Jacksonville	28,530	11.6	46.3
74	Marianna	3,492	8	59.3
75	Hot Springs	37,006	5.2	70
76	Helena-West Helena	10,477	15	45
77	Blytheville	13,843	9.9	60.5
78	Forrest City	14,144	9.3	62.4
79	Pine Bluff	42,195	16.1	54
80	Little Rock	199,288	14.5	65.5
81	West Memphis	24,668	19.7	51.2
82	Osceola	6,819	23.2	46
