Cave Springs	4,981	0.766667	9.53333
Greenwood	9,454	2.03333	3.93333
Gentry	3,842	2.16667	8.53333
Bella Vista	28,798	2.2	6.43333
Pottsville	3,246	2.73333	11.3667
Austin	3,508	1	3.05
Elkins	3,111	2.06667	6.9
Piggot	3,575	2.06667	19.3
Vilonia	4,648	0.866667	14.9333
Lowell	9,522	1.9	12.4
Dumas	4,179	3.96667	18.0333
Brookland	3,582	1.63333	21.7333
Farmington	7,032	1.45	6.6
White Hall	4,987	1.3	14.0333
Cabot	26,459	2.03333	16.9667
Haskell	4,649	1.36667	2.56667
Bentonville	51,607	1.76667	15.1667
Centerton	14,791	3.56667	10.1667
Walnut Ridge	5,013	3.46667	17.6
Cherokee Village	4,637	1.6	18.4667
