51	Wildomar	37,626	1.3	19.2
52	Chula Vista	274,370	3	13.2
53	Cathedral City	55,056	3.1	13
54	Bell Gardens	42,845	2.7	14.8
55	Central Marin	35,033	1.1	20.6
56	Corona	170,041	1.5	19.2
57	La Habra	62,769	1.8	18.4
58	Dublin	63,463	1.7	18.7
59	Torrance	146,968	1.8	18.4
60	Carlsbad	116,739	2.1	18
61	Placentia	52,324	2.3	17.3
62	Livermore	91,612	2	18.5
63	Petaluma	61,289	3.2	14.5
64	Vista	102,742	3.2	14.6
65	Palo Alto	67,560	1.1	22.4
66	La Mesa	60,442	2.6	17.4
67	La Puente	40,390	4	12.4
68	Fontana	213,964	3.3	15
69	Menifee	92,540	1.7	21
70	Huntington Beach	203,428	2.1	19.6
71	Fremont	238,024	2.1	19.7
72	Rancho Cucamonga	179,114	1.6	21.5
73	Temecula	116,411	1.2	23.3
74	Napa	80,145	3.4	15.5
75	Milpitas	79,895	1.1	24.2
76	Tustin	81,243	1.5	23.1
77	Arcadia	59,151	1.3	24
78	Stanton	38,618	3.5	16
79	Clovis	111,759	2	21.8
80	Palmdale	158,177	3.7	15.4
81	Brentwood	64,118	2.4	20.5
82	San Gabriel	40,637	3.3	17
83	Manhattan Beach	36,038	1.6	23.4
84	Newport Beach	86,276	1.4	24
85	Vacaville	101,146	2.3	21.3
86	Fountain Valley	56,433	0.9	26.5
87	San Mateo	105,839	2.7	20.4
88	San Dimas	34,463	2.3	21.8
89	Davis	69,486	1.7	24.3
90	Redondo Beach	68,048	2.5	21.3
91	El Monte	116,464	3.1	19.3
92	Escondido	153,073	3.5	17.9
93	Alhambra	85,718	2.3	22.5
94	South San Francisco	67,973	2.7	21.2
95	Apple Valley	73,631	3.1	19.8
96	La Quinta	41,849	1	27.6
97	Pico Rivera	63,602	3.6	18.2
98	Monrovia	37,128	1.9	24.6
99	Roseville	137,706	2.2	23.6
100	Baldwin Park	76,541	3.7	18.1
101	Rancho Cordova	74,863	3.6	18.5
102	Claremont	36,178	1.8	25.7
103	Mountain View	82,518	1.9	25.5
104	Bell	35,857	5.1	13.8
105	San Diego	1,436,495	3.7	19.1
106	San Bruno	43,621	2.8	22.6
107	Burbank	105,041	2.2	25
108	Coachella	46,115	2.3	24.8
109	West Covina	107,806	2.7	23.3
110	Tracy	91,988	2.2	25.3
111	Monterey Park	61,160	2	26
112	Beaumont	48,559	4.3	17.9
113	Garden Grove	174,661	2.9	23.1
114	Norwalk	106,158	4.2	18.4
115	Calexico	40,596	2.1	26.2
116	Highland	55,651	3.7	20.5
117	Union City	76,198	3.4	21.7
118	Pasadena	143,448	3.8	20.4
