Danville	45,202	0.333333	7.7
Rancho Santa Margarita	48,918	0.866667	6.2
Moorpark	37,121	1.06667	8.03333
Lincoln	48,364	0.733333	10.9333
Aliso Viejo	52,183	0.733333	8.06667
Rancho Palos Verdes	42,464	0.733333	9.8
San Ramon	76,569	0.6	11.2667
Mission Viejo	96,419	1	9.9
Laguna Niguel	66,806	1	9.86667
Yorba Linda	68,794	0.633333	10.9333
Foster City	34,993	1.03333	10.2667
Irvine	288,052	0.6	13.3
Poway	50,346	1.23333	10.1667
Thousand Oaks	129,319	1.2	12.5
Murrieta	114,706	0.633333	13.5667
Oakley	42,655	1.23333	11.3333
Lake Forest	85,302	1.6	8.93333
Santa Clarita	216,589	1.46667	13.0667
Camarillo	68,218	1.5	14.9333
Chino Hills	81,117	0.833333	14.4
Pacifica	39,339	1.86667	12
Rocklin	65,969	0.933333	17.2
Simi Valley	127,222	1.53333	12.8
San Juan Capistrano	36,295	2.3	11.2667
San Marcos	98,088	2.06667	11.5
Eastvale	64,642	1.03333	19
Cypress	49,223	1.3	14.9667
Glendale	204,724	1.16667	15.8667
Encinitas	63,700	1.73333	14.4333
Temple City	36,484	1.53333	14.6333
Folsom	78,916	0.966667	16.4667
Novato	56,577	1.56667	16.1333
Cupertino	61,078	1.23333	16
San Clemente	65,509	1.4	12.7333
Morgan Hill	46,142	1.53333	15.5
Diamond Bar	56,821	1.06667	17.0333
Martinez	38,699	1.53333	17.2667
Redwood City	88,161	2.1	15.8667
Orange	141,108	1.4	18.1
Pleasanton	84,992	1.23333	18.8
Santee	58,781	2.13333	15.1667
Hollister	38,930	3	11.1333
Menlo Park	34,694	1.2	18.4
Yucaipa	54,001	1.8	18.0333
Elk Grove	174,651	2.93333	13.4333
Dana Point	34,019	1.93333	15.4
Sunnyvale	155,637	1.26667	15.8333
Daly City	107,928	2.33333	14.6333
Seaside	34,303	3.03333	15.1
La Mirada	49,175	1.86667	17.7333
