21	Golden	20,768	2.1	25.9
22	Loveland	78,192	2.6	22.4
23	Gunnison	6,627	3.2	19.8
24	Arvada	120,631	2.3	29.4
25	Brighton	41,613	2.7	27.3
26	Aspen	7,465	1.6	38.7
27	Wheat Ridge	31,452	2.4	32.8
28	Fountain	30,367	4	20.8
29	Cortez	8,738	3.2	27.4
30	Fort Morgan	11,267	3.4	26.6
31	Westminster	113,751	2.8	32.3
32	Thornton	139,697	2.7	33.3
33	Boulder	108,380	2.7	33.8
34	Craig	8,848	2.6	35.7
35	Rifle	9,711	4.1	23.8
36	Greeley	107,325	4	25.5
37	Longmont	95,534	4.3	27.1
38	Northglenn	39,383	3.7	33.1
39	Evans	20,744	5.2	20.4
40	Delta	8,819	2.2	47.1
41	Durango	18,717	4.3	35.3
42	Avon	6,565	6.4	18.3
43	Montrose	19,335	3.4	46.2
44	Glenwood Springs	10,022	3.5	47.2
45	Grand Junction	62,974	4.4	43.4
46	Colorado Springs	471,124	5.6	33.4
47	Englewood	35,029	2.4	61.1
48	Sterling	13,928	6.3	35
49	Trinidad	7,947	5.4	42.8
50	Commerce City	57,474	6.7	31.8
51	La Junta	6,867	5	47.8
52	Aurora	372,824	7.3	29.8
53	Canon City	16,557	5.7	45.7
54	Greenwood Village	15,989	5.9	45.5
55	Lone Tree	13,933	3.1	72.5
56	Denver	720,745	7.3	36.7
57	Federal Heights	12,929	6.7	42.8
58	Alamosa	9,955	5.6	55.4
59	Pueblo	111,756	9.9	55.8
60	Sheridan	6,159	8.4	88.2
