21	Southington	43,960	0.7	16.7
22	Enfield	44,574	1.2	15.4
23	Bristol	60,184	1	16.1
24	Torrington	34,286	1.3	16.4
25	Stamford	132,007	1.7	16.1
26	Norwich	39,318	2.7	12.7
27	Milford	54,754	0.7	20.4
28	East Haven	28,805	0.7	20.6
29	Farmington	25,602	0.5	21.7
30	North Haven	23,703	0.5	22.1
31	Stratford	52,472	1	20.6
32	Norwalk	89,442	2.8	15.1
33	Trumbull	36,167	1.3	23.5
34	Manchester	57,884	1.7	22
35	Newington	30,382	0.7	25.7
36	West Haven	54,738	1.9	21.5
37	West Hartford	63,085	0.7	27.6
38	Windsor	28,867	0.9	27.1
39	Hamden	61,234	3.3	19.1
40	East Hartford	50,184	2.3	24
41	Meriden	59,792	3.6	20.3
42	New London	26,995	4.5	21
43	Bridgeport	146,819	6.4	19.3
44	New Britain	72,630	4.3	27.7
45	Waterbury	108,378	4.4	39.2
46	New Haven	131,181	8.4	39
47	Hartford	123,117	10.7	36
