51	Temple Terrace	26,777	2.5	21.3
52	Tampa	392,945	4.1	16.7
53	Oldsmar	14,763	2.1	22.8
54	Palm Bay	112,902	3.6	18.7
55	Palm Beach Gardens	55,999	1.5	25.2
56	Boca Raton	100,162	2	23.6
57	Vero Beach	17,172	2	24.2
58	Eustis	21,182	1.8	24.6
59	Winter Park	31,323	1.9	24.5
60	Sunrise	95,812	1.9	24.5
61	Greenacres City	41,174	3.9	20.3
62	Winter Garden	44,921	3.5	22.7
63	Lake Wales	16,349	3.5	22.6
64	Davie	107,120	2.5	25.8
65	Palmetto Bay	24,890	1.7	28.6
66	Cutler Bay	45,807	2.1	27.9
67	North Lauderdale	44,650	5.5	18
68	Hollywood	155,503	2.3	27.9
69	Plantation	95,204	2.5	28.4
70	Seminole	18,795	1.3	32.1
71	New Smyrna Beach	26,937	3.6	25.4
72	Kissimmee	72,894	4	25.2
73	South Daytona	13,038	4.3	24.5
74	Longwood	15,273	3	28.9
75	Stuart	16,689	3	29.5
76	Fort Walton Beach	22,263	3.1	29.4
77	Crestview	24,293	3.5	28.9
78	Clearwater	116,504	4.4	26.5
79	Ocoee	48,128	3.4	29.7
80	Ormond Beach	43,315	3	31.6
81	Miami Springs	14,508	3.3	30.7
82	Apopka	53,106	4.1	28.4
83	Lakeland	109,616	3.3	31.2
84	Winter Haven	42,268	5.6	24.4
85	Altamonte Springs	44,664	3	32.4
86	Largo	85,568	3.8	30.3
87	Auburndale	16,358	2.2	35.3
88	Deerfield Beach	81,371	4	30.6
89	Key West	25,286	4	32
90	Fort Pierce	46,109	6.1	25.7
91	Plant City	39,305	4.7	30.5
92	Wilton Manors	12,941	4.2	33
93	Bradenton	57,647	6.7	27.1
94	Palmetto	13,807	5.2	31.8
95	Hallandale Beach	40,222	5.4	32.2
96	Titusville	46,650	6.2	29.9
97	Zephyrhills	15,504	3	39.5
98	Fort Myers	82,805	7	27.6
99	Casselberry	28,744	5.3	32.9
100	Sarasota	57,718	5.8	32.5
101	Jacksonville	903,213	6	33.3
102	St. Petersburg	265,942	6.2	33
103	Mount Dora	14,179	4.7	38.6
104	West Park	15,297	7.1	32
105	Oakland Park	45,564	6.1	35.2
106	Delray Beach	69,970	5.8	36
107	DeLand	33,384	5.5	37.6
108	Palm Springs	25,146	5	39
109	Pensacola	52,672	5.4	38.2
110	Miami	473,047	6.3	35.6
111	Lauderhill	72,694	7.6	31.8
112	Bartow	19,954	5.7	37.9
113	Boynton Beach	79,142	6	37.5
114	Jacksonville Beach	23,842	6	38.4
115	Sanford	60,154	7	35.5
116	Dania Beach	32,376	6.5	37.4
117	Melbourne	82,844	7.3	35.5
118	Aventura	38,544	2.1	50.9
119	Pinellas Park	53,383	4.2	45.4
120	Lake Worth	38,577	9.6	29.9
121	Lauderdale Lakes	36,575	8.5	33.1
122	St. Augustine	14,427	6.4	39.6
123	North Miami Beach	44,485	7.3	37.8
124	Miami Gardens	114,670	7.1	39.5
125	Gainesville	133,400	7.4	39.2
126	Pompano Beach	112,045	7.8	38.4
127	Homestead	71,314	10	32
128	North Miami	62,585	8.4	37.2
129	New Port Richey	16,459	9.7	36.4
130	West Palm Beach	111,659	9.2	38.1
131	Fort Lauderdale	182,150	5.5	49.7
132	Tallahassee	192,443	7.3	45.2
133	Ocala	59,505	6.8	48.2
134	Belle Glade	19,877	10.4	39.6
135	Orlando	286,679	8	48.1
136	Riviera Beach	34,991	11.8	38.1
137	Leesburg	23,029	7.6	52.7
138	Panama City	37,318	6.3	57.6
139	Cocoa	18,739	7.5	54.5
140	Daytona Beach	69,030	11.1	48.6
141	Miami Beach	92,928	9.4	74.8
142	Opa Locka	16,663	23.5	52.8
