Marco Island	18,122	0.333333	5.76667
Weston	71,744	0.566667	5.46667
Key Biscayne	13,299	0.266667	10.1
Parkland	33,760	0.8	6.8
North Palm Beach	13,214	1	10.4667
Winter Springs	37,137	1.43333	9.86667
Port St. Lucie	193,137	1.2	11.4
Lynn Haven	21,285	1.93333	17.4667
Oviedo	41,937	1.86667	9.36667
Sebastian	25,672	1.6	15.0333
Cooper City	36,896	0.833333	12.7333
Naples	22,308	0.766667	16.8
Wellington	66,080	1.6	15.0333
Niceville	15,621	1.3	15.1
Safety Harbor	17,985	1.16667	13.5
St. Cloud	53,560	1.96667	13.3667
Venice	23,362	1.13333	14.6
Lady Lake	15,517	1.3	15.4667
Sunny Isles Beach	22,563	1.2	14.8
Punta Gorda	20,170	0.633333	13.5667
Groveland	14,342	1.225	7.2
Sweetwater	21,181	1.5	26
Cape Coral	187,869	1.3	15.7667
Coral Springs	134,640	1.7	17.7667
Jupiter	66,457	1.96667	17.5
Coconut Creek	62,237	1.3	18.7
Rockledge	27,852	2.76667	16.9333
Edgewater	22,643	1.13333	16.9333
Margate	59,186	2	17.0667
Miramar	143,103	2.83333	16.7667
Dunedin	36,723	1.43333	18.2
Lake Mary	16,896	2.36667	16.7
North Port	67,682	1.6	14.3667
Tavares	17,318	3.03333	17.0667
Port Orange	64,208	0.633333	23.7333
Maitland	17,846	1.9	21.8
Royal Palm Beach	39,253	2.3	20.0667
Miami Lakes	31,323	1.03333	19.8
Atlantic Beach	13,750	3.16667	23.3333
Pembroke Pines	173,053	1.9	21.1
Clermont	36,233	2	21.8667
Hialeah Gardens	24,510	1.4	21.8
Haines City	24,887	1.73333	20.4667
Doral	63,680	1.23333	27.2
Tarpon Springs	25,603	3.2	22.6333
Coral Gables	51,716	1.43333	26.6333
Village of Pinecrest	19,854	1.2	25.6
West Melbourne	22,665	1.53333	26.1667
Tamarac	66,454	2.4	21.0667
Hialeah	241,778	2.2	22.5333
