51	Madison	4,098	2.7	32.7
52	Savannah-Chatham Metropolitan	242,265	4.1	24.6
53	Vienna	3,663	4.9	20.2
54	LaFayette	7,210	1.5	45.4
55	Marietta	61,675	3.5	31.6
56	Lilburn	12,847	3.7	31.7
57	Gainesville	41,368	3.8	30.9
58	Thomasville	18,507	1.8	46.5
59	Jackson	5,101	3.5	33.7
60	Newnan	39,830	4.6	26.4
61	Dawson	4,103	4.4	28
62	Manchester	3,966	4.3	31
63	Snellville	19,947	3.2	39.9
64	Camilla	5,016	3.8	35.7
65	Forsyth	4,082	2.7	44.6
66	Villa Rica	15,536	3.7	37.5
67	Eatonton	6,614	5.1	27.2
68	Stone Mountain	6,447	5.1	27.5
69	Fairburn	15,904	3.3	41.5
70	Oakwood	4,179	3.1	43.6
71	Milledgeville	18,620	3.5	41
72	Sandersville	5,527	3.6	40.5
73	Bremen	6,456	1.5	56.1
74	Clarkston	12,957	4.9	32
75	Norcross	17,089	4.7	33.3
76	Cleveland	3,956	2	53.6
77	Cornelia	4,278	4	39.5
78	Hinesville	33,163	4.4	36.2
79	Ocilla	3,653	5.5	29.6
80	Waynesboro	5,462	5.3	32.2
81	Locust Grove	6,852	1.9	59.1
82	Centerville	7,795	4	43.9
83	Covington	14,178	3.6	47
84	Hazlehurst	4,143	4.1	44.2
85	Austell	7,301	7.1	23
86	LaGrange	30,611	4.2	46
87	Fort Oglethorpe	9,912	3.5	54.4
88	Jasper	3,896	2.8	60.6
89	Jesup	9,698	3.7	54
90	Carrollton	27,189	5.9	41.3
91	Jonesboro	4,760	4.6	52.7
92	Blakely	4,603	8.9	21.5
93	Toccoa	8,310	4.3	55.4
94	Moultrie	14,136	5.2	50
95	Hiram	4,046	2.5	70.9
96	Fitzgerald	8,673	5	52.8
97	Thomaston	8,703	5.3	52.6
98	Cedartown	9,959	5.9	48.9
99	Vidalia	10,488	6.2	47
100	West Point	3,766	6.4	46.5
101	Bainbridge	12,033	7.6	37.9
102	Waycross	13,771	5.2	55.9
103	Monroe	13,573	6.6	46.3
104	Douglasville	34,076	5.7	54
105	Hartwell	4,468	6.7	47
106	Doraville	10,625	5	60
107	Cordele	10,669	6	52.6
108	Forest Park	20,024	6.7	48
109	Warner Robins	75,668	5.9	55.5
110	Swainsboro	7,501	7.6	46.3
111	Atlanta	496,106	7.7	46.5
112	Nashville	4,839	8.5	41.1
113	Dublin	15,756	8.1	49.1
114	Fort Valley	8,675	10.7	30.2
115	Elberton	4,300	9.1	50.9
116	Americus	15,184	8.6	60.7
117	Brunswick	16,431	10.7	52.5
118	Morrow	7,632	4.5	99.6
119	Griffin	22,707	11.5	47.6
120	Albany	72,594	11.1	51
121	Rossville	3,967	7.3	81.7
122	Rockmart	4,281	8.9	79.2
123	College Park	15,034	10.4	68.8
124	Eastman	5,038	8.3	86.3
125	Hapeville	6,607	7.4	111.5
126	Baxley	4,718	15.5	82.2
127	East Point	35,486	12.4	120
