Braselton	11,537	0.766667	7.63333
Johns Creek	85,446	0.333333	7.03333
Milton	39,848	0.266667	7.86667
Senoia	4,352	0.233333	9.2
Summerville	4,275	0.0666667	10.2
Holly Springs	12,369	0.733333	14.0333
Tyrone	7,390	0.833333	11.0667
Peachtree City	35,374	0.466667	15.1
Chatsworth	4,301	1.35	6.1
Grovetown	14,543	0.866667	15
Jefferson	11,394	1.36667	17.1
Glennville	5,083	1.2	22.1667
Alpharetta	67,051	0.533333	18.6333
Duluth	29,882	2.4	19.4333
Auburn	7,706	1.46667	17.8
Kennesaw	34,907	1.86667	14.7
Woodstock	32,850	1.13333	17.7333
Lyons	4,284	3.8	30.7333
Roswell	95,677	1.3	16.8
Temple	4,462	1.96667	24.9667
Sandy Springs	108,654	1.16667	21.9333
Hampton	7,841	2.06667	14
Acworth	23,028	1.56667	24.2333
Social Circle	4,517	2	18.1667
Byron	5,258	0.766667	29.6
Canton	28,685	2.06667	24
Flowery Branch	7,760	1.33333	17.3
Adairsville	4,879	1.76667	26.0667
Powder Springs	15,214	2.93333	19.7333
Springfield	4,192	1.73333	18.7667
Loganville	12,308	1.16667	28.2667
Decatur	24,491	1.73333	23.2
Suwanee	20,227	1.33333	28.5333
Palmetto	4,752	3.33333	24.2
McDonough	25,151	1.93333	28.6
Fayetteville	18,042	1.6	27.6
Pooler	24,656	1.4	31.8
Port Wentworth	9,105	2.53333	15.4333
Smyrna	57,498	2.8	26.4333
Rincon	10,039	1.76667	33
Metter	3,981	4.1	33.2667
Dallas	13,496	1.6	19.4
Folkston	4,664	3.03333	19.1333
Cochran	4,882	4.26667	40.8333
Dalton	33,831	3.06667	30.1333
Commerce	6,927	5.33333	23.9
Cairo	9,407	2.4	32.7333
Statesboro	31,819	3.53333	31.5667
Dunwoody	50,095	1.5	41.0667
Brookhaven	54,138	3.43333	27.2333
