51	Prospect Heights	16,167	1.5	5.1
52	Maryville	7,954	1.1	6.7
53	Wheeling	38,687	0.7	8.3
54	Park Ridge	37,490	0.6	9.1
55	Wilmette	27,467	0.5	9.4
56	Elmhurst	47,025	0.5	9.5
57	Glenview	48,088	0.7	8.8
58	Highland	9,812	0.9	8.1
59	Frankfort	19,184	0.5	9.7
60	Sycamore	18,095	0.6	9.5
61	Hoffman Estates	51,514	0.9	8.1
62	Waterloo	10,408	1.2	7
63	Chatham	12,770	1.4	6.4
64	Algonquin	31,156	0.9	8.5
65	Palos Heights	12,385	0.2	10.9
66	Warrenville	13,280	1	8.1
67	Western Springs	13,554	0.1	11.4
68	Plainfield	44,525	1.2	7.4
69	St. Charles	32,764	1.4	7.1
70	Barrington	10,293	0.1	12
71	Roscoe	10,466	1	8.9
72	Glen Carbon	12,991	0.7	9.9
73	Mount Prospect	53,888	0.6	10.4
74	Troy	10,216	1.3	7.9
75	Grayslake	20,943	1.3	8
76	Lemont	17,224	1.3	8.2
77	Vernon Hills	26,429	0.6	11.2
78	Carol Stream	40,019	0.8	10.3
79	Bolingbrook	75,451	1.5	7.8
80	La Grange	15,583	1	9.8
81	Yorkville	19,751	0.9	10.1
82	Itasca	9,531	0.7	10.8
83	Glendale Heights	34,030	0.5	11.7
84	West Chicago	27,174	1.3	9
85	Tinley Park	56,638	0.4	12.3
86	Westmont	24,766	0.8	10.9
87	Braidwood	6,217	1.8	7.2
88	Lake Zurich	19,930	0.3	13
89	Morton Grove	23,123	0.4	12.3
90	Mendota	7,062	1.4	8.6
91	Mascoutah	8,078	0.9	10.8
92	Rolling Meadows	23,970	0.6	11.8
93	Wheaton	53,418	0.7	11.8
94	Darien	22,054	1.1	10.5
95	Rock Falls	8,844	1.2	10.1
96	Lyons	10,563	1	10.9
97	Westchester	16,423	1.2	10.5
98	Des Plaines	58,155	0.7	12.5
99	Downers Grove	49,626	1	11.3
100	Bourbonnais	18,388	1.8	8.4
101	Taylorville	10,565	0.7	12.7
102	Woodridge	33,681	1	11.6
103	Villa Park	21,806	1.2	10.6
104	Woodstock	25,353	0.9	11.8
105	Northbrook	33,424	0.2	15.3
106	New Lenox	26,905	1.3	11.1
107	Oak Forest	27,644	1.3	11
108	Riverside	8,723	1.5	10.4
109	Jerseyville	8,238	1.2	11.7
110	Burbank	28,771	2.1	8.4
111	Carpentersville	38,220	0.9	13
112	Romeoville	39,625	1.5	10.9
113	Mokena	20,507	0.5	14.4
114	Wood Dale	13,800	0.7	13.8
115	Antioch	14,201	1.4	11.6
116	Park City	7,504	1.5	11.5
117	Crest Hill	21,221	2	9.6
118	McHenry	26,893	1.8	10.7
119	Elk Grove Village	32,723	0.7	14.8
120	Round Lake Park	7,740	3	6.3
121	Montgomery	19,897	0.9	14.4
122	North Aurora	18,470	1.3	13
123	Hickory Hills	13,934	1.1	13.6
124	Washington	17,048	1.8	11.3
125	Swansea	13,506	1	14.2
126	Shiloh	13,167	1.7	12.1
127	Orland Park	59,064	0.3	17.2
128	Elmwood Park	24,486	2.2	10.2
129	Burr Ridge	10,852	0.3	17.5
130	Batavia	26,614	1.3	13.9
131	Addison	36,791	1.7	12.6
132	Johnsburg	6,313	0.3	17.7
133	Bensenville	18,324	1.1	14.8
134	Oak Lawn	55,996	1.4	13.5
135	Peru	9,770	1	15.3
136	Crystal Lake	40,345	0.9	16.1
137	Belvidere	25,121	2.4	10.7
138	South Beloit	7,642	1.7	13.3
139	Morris	14,798	1.1	16.1
140	Ottawa	18,096	0.8	17.1
141	Worth	10,642	2.4	11.6
142	Manteno	8,996	1	17.7
143	Aurora	201,364	2.7	11.4
144	Dixon	15,129	2.1	14.7
145	Greenville	6,723	2.1	14.9
146	Elgin	113,060	2.1	15.2
147	Round Lake Beach	27,534	1.2	18.5
148	Franklin Park	17,968	2.6	13.5
149	Schaumburg	74,169	0.8	20.4
150	Lombard	43,794	1.2	19.5
151	Crete	8,147	2.1	16.2
152	Macomb	18,124	3.1	12.6
153	Schiller Park	11,617	1.5	18.9
154	Northlake	12,369	0.8	21.7
155	Niles	29,433	1.2	20.6
