21	Fort Wayne	267,634	3.8	26.2
22	La Porte	21,630	5.1	22.9
23	Columbus	47,595	1.6	35.8
24	Muncie	68,406	3.2	33.3
25	Bloomington	85,730	5.4	26.5
26	Franklin	25,288	5.1	28
27	Kokomo	57,804	6.3	24.7
28	Hobart	28,101	2.5	39.6
29	Hammond	76,050	4.8	34.9
30	Lafayette	72,904	4.6	36
31	Marion	28,116	4.6	36.9
32	Gary	75,426	5	36.1
33	Anderson	54,925	4.1	42.6
34	Seymour	19,681	2.1	50.6
35	Mishawaka	49,310	2.3	51.2
36	Evansville	118,765	5.7	44.6
37	Shelbyville	19,075	11.3	29.5
38	Michigan City	30,999	7.4	44.3
39	Elkhart	52,659	11.8	35.5
40	South Bend	102,397	10.4	43
41	Indianapolis	877,584	12.7	41.3
