St. John	17,615	0.166667	7.33333
Carmel	94,128	0.333333	8
Fishers	94,035	0.433333	9.43333
Westfield	41,037	0.5	10.1333
Dyer	15,880	0.433333	9.26667
West Lafayette	46,906	1	9.43333
Chesterton	13,561	0.35	4.225
Crown Point	29,884	0.266667	11.6333
Noblesville	63,315	0.225	5.625
Brownsburg	26,525	0.766667	11.6333
Valparaiso	33,610	0.625	6.775
Munster	22,596	0.766667	19.1333
Griffith	16,050	1.13333	23.1333
Portage	36,646	0.633333	6.73333
Jeffersonville	47,709	1.4	28.3667
Plainfield	33,668	2.8	26.5667
Greenwood	58,312	3.73333	32.3
Crawfordsville	16,207	2.275	11.7
Lawrence	49,093	1.43333	7.36667
Goshen	33,386	0.725	35.3
