21	Paola	5,574	0.7	24
22	Shawnee	65,983	2.5	16.3
23	Derby	23,842	1.6	21.2
24	Overland Park	193,877	2.3	19.3
25	Lyons	3,540	5.9	3.4
26	Maize	4,735	2.5	19.6
27	Mulvane	6,391	1.4	25.5
28	Larned	3,828	2.4	24
29	Park City	7,785	3.1	20.7
30	Dodge City	27,756	3.2	21.3
31	Edwardsville	4,505	2.9	25.1
32	Concordia	5,059	3.2	24.1
33	Pratt	6,737	4.2	19.6
34	El Dorado	12,960	2.2	29.6
35	Clay Center	3,930	4.8	17.3
36	Wamego	4,748	4	21.7
37	Baxter Springs	3,919	2.3	30.9
38	Holton	3,258	3.7	24.6
39	Augusta	9,387	1.9	34.5
40	Haysville	11,343	4.1	24.9
41	Garden City	26,902	4.6	22.6
42	Atchison	10,589	4.1	25.4
43	Russell	4,454	5.6	18.6
44	Ottawa	12,300	5.1	25.4
45	Winfield	12,072	1.8	43.4
46	Fort Scott	7,779	4.8	33.3
47	Hutchinson	40,573	4.1	40
48	Newton	18,830	7	29.7
49	Arkansas City	11,791	4.2	43.3
50	Iola	5,306	6.2	39.4
51	Great Bend	15,251	7.3	37.8
52	Leavenworth	36,331	9.5	31.1
53	Coffeyville	9,375	6.1	50.3
54	Parsons	9,664	9.4	35.7
55	Topeka	126,399	6.1	51.9
56	Wichita	391,726	11.8	56.2
