Hugoton	3,816	0.9	3.35
Scott City	3,854	1.83333	8.1
Valley Center	7,370	1.36667	13.1
Tonganoxie	5,508	1.73333	13.4
Hesston	3,791	0.533333	11.9
Basehor	6,239	0.966667	13.1333
Ulysses	5,878	1.53333	8
Leawood	35,070	0.866667	13.1
Frontenac	3,409	1.46667	18.6667
Rose Hill	3,986	0.45	6.45
Emporia	24,698	1.46667	23.0333
Beloit	3,695	1.6	12.8333
Lansing	12,043	2.2	11.0333
Marysville	3,268	2.6	24.4333
Bel Aire	8,092	1.16667	11.3333
Olathe	139,154	1.9	14.6667
Osawatomie	4,278	2.8	19.4667
Lenexa	54,349	1.66667	16.7333
Gardner	21,945	1.125	7.05
Abilene	6,315	1.5	16.6333
