21	Vine Grove	6,237	0.3	14.9
22	Erlanger	22,993	1	8.1
23	Hillview	9,163	0.9	10.8
24	Bellevue	5,746	0.7	13.9
25	La Grange	8,995	0.6	16.3
26	Monticello	6,101	1	12.1
27	Cold Spring	6,430	0.6	17.4
28	Lakeside Park	6,107	0.2	23.1
29	Elsmere	8,680	1.3	10.6
30	Versailles	26,552	1	14.7
31	Morehead	7,869	0.5	21.5
32	Fort Wright	5,737	1.4	11.5
33	Beaver Dam	3,587	1.7	8.4
34	Dayton	5,464	1.1	17.4
35	Southgate	3,908	1.8	10.2
36	Shelbyville	16,138	1.2	16.9
37	Williamsburg	5,299	2.1	8.5
38	Hodgenville	3,223	1.6	14.6
39	Paintsville	4,061	2.5	6.2
40	Benton	4,495	0.2	31.6
41	Berea	15,893	1.3	20.5
42	Paris	9,809	1.3	21.8
43	Elizabethtown	30,180	2.1	13.3
44	Cynthiana	6,362	1.9	17.1
45	Lancaster	3,866	2.1	15.3
46	Ludlow	4,502	2	16.4
47	Danville	16,801	2	16.8
48	Grayson	3,983	2.8	10.8
49	Shepherdsville	12,391	2.1	20.7
50	Corbin	7,267	2.1	22.6
51	Nicholasville	30,922	1.9	26.6
52	Georgetown	34,351	1.8	28.9
53	Richmond	35,952	1.8	29.7
54	Leitchfield	6,914	2	28.1
55	Somerset	11,453	2.6	21.6
56	Scottsville	4,478	1.3	36.2
57	Ashland	20,525	1.5	37.7
58	Hazard	5,035	2.4	28.6
59	Maysville	8,770	2.2	31.5
60	Russellville	7,088	2.4	30.1
61	Glasgow	14,411	2.3	31.4
62	Florence	32,701	1.8	37.9
63	Mount Sterling	7,253	1.9	37.4
64	London	8,008	2.2	33.8
65	Lebanon	5,668	4.1	15
66	Middlesboro	9,360	1.4	45.3
67	Hopkinsville	30,606	2.8	32.6
68	Princeton	6,075	1.6	46.3
69	Pikeville	6,641	1.8	45.2
70	Lexington	325,579	3	31.7
71	Frankfort	27,664	2.6	38
72	Newport	14,972	3.1	38
73	Covington	40,448	4.1	27.1
74	Owensboro	59,686	2.7	44.2
75	Shively	15,876	3.5	36.4
76	Campbellsville	11,503	2.8	45.4
77	Bowling Green	68,268	3	48.5
78	Mayfield	9,819	3.6	46.2
79	Oak Grove	7,232	4.1	42.9
