11	Covington	10,658	2.8	20.9
12	Rayne	8,184	2.6	23.9
13	Carencro	9,174	2.4	28.6
14	Baker	13,487	3.3	24.8
15	Kenner	67,556	2.3	30.2
16	Slidell	27,973	3.1	29.1
17	Ruston	22,274	3.7	28.2
18	Patterson	5,964	4.4	26.3
19	St. Gabriel	7,399	8.8	7.3
20	Gretna	17,965	4.8	30.9
21	Plaquemine	6,660	4.8	31.4
22	Abbeville	12,279	7.2	19.6
23	Thibodaux	14,745	4.6	36.2
24	Broussard	12,672	4.1	39.5
25	Zachary	17,884	6.2	34.9
26	Sulphur	20,250	4.7	43.4
27	Eunice	10,073	4.4	48.3
28	Houma	33,226	4.8	48.9
29	Lafayette	127,592	5.3	46.1
30	Franklin	6,874	7.6	39.7
31	Bossier City	69,551	8.3	43.1
32	Lake Charles	77,852	7.4	48.5
33	Pineville	14,415	6.3	55.2
34	Ville Platte	7,130	1.5	79.4
35	Breaux Bridge	8,349	3.4	71.3
36	Denham Springs	9,761	4.5	68.5
37	Morgan City	11,066	8.7	48.3
38	Shreveport	190,808	8.3	51.8
39	Baton Rouge	224,790	9.2	53.2
40	Gonzales	10,916	5.7	71
41	Bogalusa	11,730	10.6	49.8
42	New Orleans	396,374	11.6	45.6
43	Natchitoches	17,981	8.8	63.5
44	Ponchatoula	7,369	10.3	59
45	Leesville	5,999	10.2	62.5
46	Walker	6,286	9.4	68.7
47	West Monroe	12,594	8.2	80
48	Monroe	48,291	14	67.9
49	Alexandria	47,238	14.5	84.1
50	Crowley	12,779	17.8	71.7
51	Bastrop	10,270	13.4	98
52	Marksville	5,450	19.4	72.5
53	Hammond	20,550	14.5	103.4
54	Opelousas	16,262	21.4	72.6
