21	Melrose	28,552	0.5	5.1
22	Concord	19,459	0.4	5.7
23	Northborough	15,124	0	7.3
24	Duxbury	16,049	0.4	5.7
25	Grafton	18,900	1.1	3.2
26	Sudbury	19,037	1.1	3.3
27	Pembroke	18,446	0.8	4.7
28	Marshfield	25,922	1.3	3.2
29	Wilmington	24,005	0.8	5.2
30	Marblehead	20,652	1	4.9
31	Hanover	14,521	0.1	8.3
32	Sandwich	20,248	1.1	5
33	Newton	89,505	0.6	7
34	Beverly	42,114	1	5.8
35	Ashland	17,860	1.2	5
36	North Andover	31,394	1.1	5.5
37	Newburyport	18,146	1	6.7
38	Acton	24,038	1.1	6.5
39	Westwood	16,267	0.6	8.4
40	Watertown	36,320	0.8	7.8
41	Belchertown	15,165	1.6	5.1
42	Winthrop	18,783	1.5	6
43	Bridgewater	27,584	2.1	4.2
44	Wakefield	27,447	1.5	6.4
45	East Bridgewater	14,558	1.5	6.5
46	Westborough	19,226	0.9	9.4
47	Methuen	50,676	0.9	9.6
48	Swampscott	15,380	0.6	11.1
49	Dracut	31,917	1.3	8.7
50	Hingham	23,588	1.6	7.6
51	Hudson	20,060	2.4	4.5
52	Easton	25,225	1.8	6.9
53	Woburn	39,895	1.2	9.4
54	Mansfield	24,050	1.4	8.5
55	Chelmsford	35,264	0.9	10.8
56	Norwood	29,267	1.3	9.1
57	Medford	57,997	1.3	9.4
58	Brookline	59,199	0.9	10.7
59	Dedham	25,437	0.3	13.3
60	Amesbury	17,623	1.8	8.1
61	Longmeadow	15,898	0.9	11.5
62	Westport	15,959	2.1	7.2
63	Easthampton	16,050	2.1	7.6
64	Amherst	40,242	3	4.3
65	North Attleboro	29,208	1	12.2
66	Milford	29,056	2.1	8
67	Waltham	62,655	1.9	9
68	Gloucester	30,356	2.4	7.1
69	Bellingham	17,184	1.1	12.2
70	Stoneham	22,135	1.5	11
71	Walpole	25,204	1.7	10.4
72	Somerset	18,166	2.1	8.5
73	Whitman	15,093	2.5	7.4
74	Wilbraham	14,760	1.5	11.5
75	Natick	36,717	1.5	11.4
76	Northbridge	16,759	1.6	11.1
77	Canton	23,709	3.4	5
78	Foxborough	17,667	2.5	8.7
79	Swansea	16,619	1.7	11.6
80	Braintree	37,345	1.4	13
81	Abington	16,443	2.5	8.9
82	Ludlow	21,590	2.1	10.6
83	South Hadley	17,799	1.3	14.1
84	Burlington	27,562	1.5	13.7
85	Weymouth	57,069	2.8	9
86	Attleboro	44,719	2.2	11.8
87	Somerville	82,161	2.2	12.4
88	Dartmouth	34,322	1.9	13.3
89	Malden	61,469	2.9	9.6
90	Tewksbury	31,561	2.6	10.9
91	Westfield	41,854	2.7	11.1
92	Peabody	53,209	3	10
93	Stoughton	28,729	2.6	11.4
94	Saugus	28,471	2.3	13
95	Mashpee	14,215	3.3	9.4
96	Bourne	19,894	2.3	13.4
97	East Longmeadow	16,398	1.7	16
98	Taunton	57,304	4.2	6.2
99	Danvers	27,703	1.9	15.2
100	Seekonk	15,820	1.6	16.9
101	Plymouth	60,349	3.8	8.6
102	Raynham	14,320	1.9	16.4
103	Falmouth	31,033	3.5	10.6
104	Framingham	72,510	3.5	11.3
105	Barnstable	44,015	3.8	10.5
106	Randolph	34,535	3.1	13.2
107	Auburn	16,771	1.7	19
108	Middleboro	25,125	4.4	8.6
109	Salem	43,634	1.9	18.9
110	Quincy	94,388	3.7	12.6
111	Marlborough	40,052	4.2	11.4
112	Lowell	111,989	3.2	15.3
113	Agawam	28,955	3.6	14.8
114	Everett	47,005	3.7	14.6
115	Cambridge	114,881	3	18
116	Yarmouth	23,269	4.9	12.5
117	Fairhaven	16,076	3.4	18.2
118	Northampton	28,587	4	18.9
119	Revere	54,296	4.8	16.3
120	Gardner	20,704	4.4	17.6
121	Fitchburg	40,836	5.8	12.9
122	Lawrence	80,669	6.2	11.6
123	Haverhill	64,012	5.6	14
124	Webster	17,051	6.3	12.1
125	Lynn	94,558	6	14.4
126	Southbridge	16,933	5.3	18
127	Leominster	41,727	5.2	19.7
128	Chelsea	40,974	6.8	14.3
129	Greenfield	17,443	5.8	18.6
130	Wareham	22,747	7	16.9
131	Boston	694,673	6.2	20.2
132	Worcester	186,188	6.8	21.4
133	New Bedford	95,106	6.3	25.5
134	Fall River	89,475	10.1	15.2
135	Brockton	95,922	9	21.6
136	West Springfield	28,802	5.8	35.4
137	Pittsfield	42,298	8.4	28.3
138	Springfield	155,179	9.9	26.4
139	Holyoke	40,470	9.7	40.5
