11	Frostburg	8,591	2.2	15.9
12	Havre de Grace	13,655	2.3	15.9
13	New Carrollton	13,115	3	13.8
14	Bel Air	10,027	2.3	23
15	Easton	16,550	2.2	24.2
16	Cheverly	6,519	3.2	20.1
17	Chestertown	5,035	4	16.5
18	Takoma Park	18,049	3.2	21.8
19	Frederick	72,299	3.9	20.6
20	Annapolis	39,461	5.4	23.1
21	Westminster	18,603	4.5	31.1
22	Mount Rainier	8,198	4.3	32.9
23	La Plata	9,449	4.3	33
24	Greenbelt	23,661	4.9	30.5
25	Riverdale Park	7,330	6.1	23.7
26	Laurel	26,038	4.4	35.7
27	Aberdeen	16,210	7.2	19.4
28	Hagerstown	40,384	6.3	26
29	Fruitland	5,349	3.6	48.6
30	Bladensburg	9,518	5.9	34.7
31	Hyattsville	18,448	4.3	50.2
32	Seat Pleasant	4,857	10.1	27
33	Cumberland	19,555	7.5	45.1
34	Salisbury	33,183	8.2	46.7
35	Cambridge	12,364	10.4	48.7
36	Elkton	15,681	12.7	63.1
37	Baltimore	605,436	18.3	45
38	Ocean City	6,950	11.9	119.7
