21	New Baltimore	12,423	0.6	4.6
22	Berkley	15,382	0.3	5.7
23	Napoleon Township	6,751	0.6	5
24	Beverly Hills	10,450	0.5	5.5
25	Chocolay Township	5,936	1.2	3.5
26	Highland Township	20,137	0.7	4.9
27	Orion Township	36,193	0.6	5.5
28	Clayton Township	7,121	1	4.4
29	Huntington Woods	6,328	0.6	5.5
30	West Bloomfield Township	65,928	0.6	5.9
31	Tittabawassee Township	9,819	1	4.8
32	Birmingham	21,295	0.5	6.4
33	Thomas Township	11,488	0.7	5.9
34	Rochester Hills	74,669	0.7	5.9
35	Clawson	11,962	1	5.8
36	Plymouth Township	27,032	0.9	6.1
37	St. Johns	7,890	1.3	5.1
38	Northville	5,992	0.8	6.7
39	Tecumseh	8,363	0.8	6.7
40	Trenton	18,176	1.2	5.7
41	Sumpter Township	9,362	0.9	6.7
42	Bloomfield Township	42,199	0.5	7.7
43	Walled Lake	7,170	1.3	6.1
44	White Lake Township	31,236	0.4	8.5
45	Marysville	9,674	0.9	7.2
46	Plymouth	9,142	0.8	8.1
47	Montrose Township	7,459	1.5	6.3
48	Shelby Township	79,878	1.5	6.3
49	Grand Blanc	7,841	0.5	9.2
50	Royal Oak	59,383	0.9	8.1
51	Farmington Hills	81,239	0.8	8.4
52	Farmington	10,605	1.9	5.5
53	Novi	60,378	0.7	8.8
54	Holly	6,170	1.1	7.8
55	St. Joseph Township	9,773	0.7	9
56	Clay Township	8,849	1.5	7
57	Green Oak Township	18,874	1.3	7.4
58	Bath Township	12,984	1.1	8.2
59	East Grand Rapids	11,886	0.5	10.3
60	DeWitt Township	15,194	1.2	8.4
61	Richfield Township, Genesee County	8,325	1.7	7
62	Grosse Pointe Farms	9,116	0.7	9.9
63	Saline	9,358	1.4	8.1
64	Woodhaven	12,435	1	9.4
65	Midland	41,961	1.3	8.4
66	Rockford	6,345	1.1	9.3
67	Northville Township	28,939	0.7	10.4
68	Riverview	12,058	1.2	9.6
69	Grand Ledge	7,804	0.9	10.5
70	Marquette	20,529	1.1	9.9
71	Huron Township	15,930	2.1	7.5
