Oakland Township	19,495	0.3	2.36667
Iron Mountain	7,327	0.175	0.425
Addison Township	6,598	0.433333	4.8
Kinross Township	7,432	0.166667	1.96667
Spring Arbor Township	8,044	0.7	3.1
Raisin Township	7,716	0.666667	3.16667
Grosse Ile Township	10,128	0.166667	2.6
Hamburg Township	22,024	0.566667	3.3
Argentine Township	6,526	1.13333	5.43333
Gaines Township	6,100	0.5	4.16667
Rochester	13,075	0.933333	4.76667
Brandon Township	15,962	0.9	3.4
Milford	16,808	0.5	4.6
Adrian Township	6,264	0.525	1.25
Flushing Township	10,179	0.866667	3.96667
Springfield Township	14,423	0.833333	4.6
Oxford Township	19,139	0.8	4.66667
Commerce Township	39,023	0.466667	7.26667
South Lyon	11,803	0.733333	4.1
Independence Township	36,925	0.533333	5.53333
