21	West Hennepin	5,663	0.9	7.6
22	Belle Plaine	7,189	0.7	10.6
23	Stillwater	19,467	0.9	7.8
24	New Prague	7,884	0.6	11.5
25	Chisholm	4,908	0.8	9.8
26	East Grand Forks	8,632	0.8	10.1
27	Edina	52,544	0.4	15.3
28	New Ulm	13,202	0.7	12.3
29	Eden Prairie	64,917	0.6	13.4
30	Minnetonka	53,573	0.5	15.1
31	Montevideo	5,101	0.8	12.2
32	Woodbury	70,900	0.7	13.3
33	Champlin	25,304	1	9.2
34	Wyoming	7,900	1.1	8
35	Grand Rapids	11,297	0.8	12.8
36	Maple Grove	72,502	0.6	15.4
37	Cottage Grove	37,102	0.7	14.7
38	Sartell	18,014	0.6	16.7
39	Ramsey	27,023	1	12.9
40	Glencoe	5,480	1.1	11.9
41	Sauk Rapids	13,853	0.4	20.4
42	Centennial Lakes	11,062	1	13.4
43	International Falls	5,933	1.3	9.8
44	Northfield	20,535	1.4	9.7
45	New Hope	21,168	0.7	18.7
46	Rogers	13,257	0.8	17.8
47	St. Peter	12,012	1.2	12.7
48	Savage	32,029	1.1	13.5
49	North Mankato	13,794	1.4	10.4
50	Isanti	5,787	0.7	19.2
51	Cloquet	11,911	1	15.2
52	Litchfield	6,615	1.2	12.7
53	Becker	4,880	1.8	4.9
54	Owatonna	25,829	1	17
55	Eagan	66,981	0.9	19.2
56	Waseca	8,918	0.8	21.3
57	Wayzata	6,582	0.9	19.8
58	St. Francis	7,728	1.3	15.3
59	Golden Valley	21,688	1	18.9
60	Elk River	24,724	1.2	17.4
61	St. Paul Park	5,409	1.1	18.5
62	North St. Paul	12,588	1.2	17.5
63	Buffalo	16,304	1	19.4
64	Baxter	8,372	1.1	19.1
65	Apple Valley	52,922	1.2	18.1
66	Morris	5,300	1.9	9.4
67	Mendota Heights	11,381	1.4	18.2
68	Sauk Centre	4,389	1.8	13.9
69	Little Falls	8,683	1.4	19.7
70	Coon Rapids	62,818	1.3	21
71	North Branch	10,511	1.1	23.4
72	Blaine	65,649	1	26
73	New Brighton	22,978	1.1	24.5
74	Windom	4,401	1.8	15.5
75	Hopkins	18,838	1.7	17.7
76	Crystal	23,310	1.5	20.9
77	Fairmont	10,053	1.2	24.3
78	Prior Lake	26,925	1.5	21.3
79	Oakdale	28,178	1.3	23.5
80	Moorhead	43,657	1.4	23.5
81	Marshall	13,713	1.8	18.2
82	Hastings	22,799	1.8	18.1
83	Lakes Area	9,679	2.1	15.5
84	Worthington	13,309	2.6	8.3
85	Anoka	17,574	1.5	22.4
86	Hutchinson	13,862	2	16.4
87	Shakopee	41,424	1.8	19.6
88	St. Louis Park	49,595	1.4	24.7
89	Winona	26,840	1.6	22.9
90	White Bear Lake	26,187	1.4	26.9
91	Albert Lea	17,655	1.5	26.4
92	Rochester	117,037	1.9	20.8
93	Thief River Falls	8,865	1.8	23.4
94	Hibbing	15,998	2.8	11.4
95	Cambridge	8,905	1	34.8
96	Inver Grove Heights	35,592	2.5	15.7
97	St. Anthony	9,205	2.1	22.4
98	Richfield	36,300	2.2	21.2
99	Burnsville	61,592	1.9	26.2
100	Princeton	4,666	1.3	35.1
101	Crookston	7,779	2.4	20.4
102	South St. Paul	20,260	2.3	24.9
103	Bloomington	86,279	1.9	30
104	Oak Park Heights	4,991	1.2	39.3
105	Detroit Lakes	9,289	2	29.1
106	Austin	24,935	2.6	21.8
107	Mounds View	13,235	1.7	33.9
108	Hermantown	9,525	1	43.3
109	Red Wing	16,405	2.4	26
110	Columbia Heights	21,119	2.7	23.9
111	Robbinsdale	14,629	3.3	15.9
112	Faribault	23,806	3.2	17.8
113	Willmar	19,635	2.8	25.4
114	Fergus Falls	13,839	2.2	35.3
115	Dilworth	4,474	1.3	46.5
116	Redwood Falls	4,952	3	32.3
117	Maplewood	41,339	2.2	45
118	Fridley	27,943	3	36.3
119	Mankato	42,606	3.3	33.3
120	Alexandria	13,759	3.7	28.3
121	Brooklyn Park	81,263	3.7	30.3
122	Roseville	36,701	2.3	49.8
123	Brooklyn Center	31,128	3.8	34.2
124	St. Cloud	68,282	3.8	37.7
125	Virginia	8,458	4.1	34.6
126	Duluth	86,048	3.6	42.9
127	Brainerd	13,404	4.6	33.8
128	West St. Paul	19,798	3.7	48.5
129	Spring Lake Park	6,515	4.1	44.7
130	St. Paul	309,756	6.3	32.5
131	Bemidji	15,528	5.1	70.5
132	Minneapolis	428,261	7.9	39.1
133	Waite Park	7,512	3.9	100.1
