21	Vandalia	4,215	1.7	8.1
22	Kearney	10,300	0.6	14.5
23	Maryville	11,716	0.6	14.4
24	Chesterfield	47,602	0.5	15.4
25	Eureka	10,626	1	12.2
26	Nixa	21,653	1.2	11.5
27	Rogersville	3,739	0.8	14.2
28	Jackson	15,101	1.3	11.9
29	Ste. Genevieve	4,443	0.7	15.3
30	Pleasant Valley	3,059	1.6	10.1
31	Lake St. Louis	16,134	0.7	15.4
32	Manchester	18,114	0.9	14.7
33	Kirkwood	27,670	1.1	13.8
34	O'Fallon	88,763	1.6	10.7
35	Moscow Mills	3,004	1.3	12.6
36	Knob Noster	2,763	0.7	16.3
37	Smithville	10,012	1	15.3
38	Ashland	3,956	1.5	12.4
39	Odessa	5,184	1.5	13.1
40	Creve Coeur	18,831	1.2	15.3
41	Lexington	4,531	3.5	2.2
42	Frontenac	3,875	0.8	18.8
43	Tipton	3,387	3.8	1.5
44	Clayton	16,935	1.5	15.6
45	Grain Valley	14,165	1.8	14.2
46	Raymore	21,452	0.4	22.1
47	Peculiar	5,192	0.4	22.5
48	Wentzville	41,057	2.6	10.4
49	Willard	5,447	2.8	9.5
50	Sunset Hills	8,492	1.3	18.4
51	Olivette	7,843	2	14
52	Bethany	3,107	0.6	23.5
53	Boonville	8,434	1.4	19.2
54	Buckner	3,053	1	21.9
55	Palmyra	3,598	0.3	26.4
56	Pacific	7,241	1.2	20.9
57	Lee's Summit	98,144	1.2	21.4
58	Cameron	9,736	1.8	17.9
59	Parkville	6,963	1.9	17.8
60	Mount Vernon	4,525	0.4	27.2
61	Trenton	5,800	2.2	16.7
62	Waynesville	5,275	2.7	15.4
63	Oronogo	2,578	3.5	10.5
64	Dexter	7,839	0.6	27.4
65	Scott City	4,486	2.2	19.2
66	Mexico	11,507	1.2	25.1
67	St. Peters	57,838	1.8	21.6
68	Webb City	11,379	0.9	27.2
69	Troy	12,226	2.1	20
70	Liberty	31,842	2.9	16
71	Centralia	4,255	2.8	16.7
72	Ozark	20,203	2	21.6
73	Chillicothe	9,699	3.1	15.6
74	Montgomery City	2,630	1.5	25.1
75	Republic	16,495	2.6	18.9
76	Florissant	51,326	2.2	21
77	Mountain View	2,645	0.8	30.2
78	St. Charles	70,925	2.1	22.7
79	Holts Summit	4,599	4.6	8.5
80	Marshfield	7,442	0.9	29.8
81	Macon	5,368	2	23.5
82	St. James	4,059	0.7	31.5
83	Versailles	2,426	2.5	21.4
84	Oak Grove	8,151	2	25.4
85	Forsyth	2,437	2.5	22.6
86	Brookfield	4,291	3.3	17.9
87	Marshall	12,655	2.3	23.7
88	Butler	4,025	2	25.8
89	St. Ann	12,698	2.8	21.7
90	Herculaneum	4,067	3.7	16.7
91	Salem	4,910	1	32.4
92	Excelsior Springs	11,626	1.9	30.2
93	Eldon	4,632	3.5	21.6
94	Portageville	3,019	4	18.9
95	Farmington	18,740	1.5	33.1
96	Arnold	21,151	1	36.3
97	Owensville	2,576	1.9	31.1
98	St. John	6,344	2.4	29.2
99	Blue Springs	55,277	2.4	28.9
100	Kirksville	17,539	2.5	28.9
101	Festus	12,092	4.6	16.7
102	Maryland Heights	26,930	3.5	25.7
103	Lamar	4,303	1.9	36.3
104	Crystal City	4,726	2.5	33.2
105	Gladstone	27,382	4.2	24.1
106	Bowling Green	5,577	5.7	15.4
107	Ava	2,883	3.5	28.8
108	Columbia	123,586	3.6	28.2
109	Monett	8,984	3.2	30.5
110	Harrisonville	10,113	3.6	29.5
111	Jefferson City	42,856	3.5	29.8
112	Malden	3,943	6.3	14.5
113	University City	34,438	3.1	33.3
114	Washington	13,964	2.4	37.7
115	Hazelwood	25,234	3.9	29.1
116	Shrewsbury	6,108	3.1	33.9
117	Fulton	12,856	2.3	38.9
118	Cuba	3,302	1.5	44.2
119	Breckenridge Hills	4,612	4.3	28.4
120	Mountain Grove	4,659	5.6	21.2
121	Perryville	8,495	4.8	26.4
122	Brentwood	7,991	1.9	44.4
123	Warrensburg	20,355	3.8	34
124	Bolivar	10,966	2.7	40.4
125	Neosho	12,057	2.4	43.6
126	Northwoods	4,404	5.7	25.2
127	Fredericktown	4,014	5.7	25.7
128	Charleston	5,599	6.6	20.5
129	Pevely	5,883	5.8	28.2
130	Camdenton	4,106	2.4	48
131	Sugar Creek	3,303	4.5	38.4
132	Carrollton	3,508	9.4	11.4
133	Sullivan	7,156	3.1	49.2
134	Cape Girardeau	39,303	4.9	39.1
135	Rolla	20,385	5.9	33.5
136	West Plains	12,277	3.6	47.7
137	Richmond Heights	8,342	2.6	53.3
138	Buffalo	3,057	4.6	42.2
139	Moberly	13,750	8.7	18.4
140	Desloge	4,861	3.1	51.4
141	Union	11,710	4.4	45.5
142	Clinton	8,897	5.5	39.9
143	El Dorado Springs	3,568	2.5	57.5
144	Lebanon	14,622	3.9	50
145	Richmond	5,636	5.5	42.6
146	Raytown	29,173	5.2	44.4
147	Sikeston	16,129	6	39.9
148	Des Peres	8,601	1.3	67.8
149	Woodson Terrace	4,032	6.2	40.2
150	Grandview	25,256	6.8	36.6
151	Independence	117,368	4.4	52.1
152	St. Robert	6,006	4.8	53.1
153	Ferguson	20,663	6.2	45.8
154	Hannibal	17,545	5.8	51.1
155	Potosi	2,623	3	69
156	Osage Beach	4,582	5	58.1
157	Warrenton	8,283	7.5	44.5
158	Nevada	8,116	5.4	58.2
159	Kennett	10,326	4.8	63.3
160	Bridgeton	11,663	5.8	58.3
161	Sedalia	21,590	8.5	43.7
162	Poplar Bluff	17,074	5	68.1
163	Bellefontaine Neighbors	10,597	9.4	43.6
164	Aurora	7,478	9.9	46.7
165	Bel-Ridge	2,661	11.6	43.6
166	Cassville	3,311	6	77.6
167	Hayti	2,644	10.2	57.5
168	St. Clair	4,702	11.3	54.4
169	Caruthersville	5,640	12.4	47.9
170	Maplewood	8,130	5.9	86.1
171	Pagedale	3,292	14.9	34.3
172	Vinita Park	11,003	13.1	53.8
173	Kansas City	493,115	15.9	43.1
174	North Kansas City	4,552	9.7	84.8
175	Riverview	2,772	17.3	41.1
176	Springfield	168,537	13.2	70.2
177	Branson	11,589	7.3	105.6
178	St. Louis	306,875	18	59.1
