11	Chadron	5,621	1.6	16.7
12	Papillion	19,588	2	18.7
13	Plattsmouth	6,444	2.2	17.5
14	Bellevue	53,683	2.1	18.3
15	Fremont	26,465	2.2	20.2
16	York	7,875	0.8	30.5
17	McCook	7,518	2.8	17.2
18	Sidney	6,602	2.4	20.1
19	Kearney	34,261	2.5	23.4
20	Beatrice	12,244	2.7	23.9
21	South Sioux City	12,845	1.9	30.3
22	Hastings	24,963	2	33.2
23	Crete	7,185	5	16.3
24	Lincoln	288,589	3.6	28.8
25	Scottsbluff	16,029	3.4	30.3
26	Nebraska City	7,316	4	30.2
27	Grand Island	51,768	4.7	29.1
28	North Platte	23,774	4.1	42.3
29	Omaha	469,351	5.6	34.8
