21	Milford	15,497	0.5	6.1
22	Enfield	4,536	0.9	4.4
23	Epsom	4,707	0.8	5.1
24	Loudon	5,523	0.5	6.9
25	Rye	5,501	0.9	5.1
26	Raymond	10,485	1	5.2
27	Litchfield	8,535	0.7	6.6
28	Deerfield	4,536	0.7	7.3
29	Chester	5,201	1	5.8
30	Bedford	22,640	0.5	8.4
31	Henniker	4,948	1.2	5.1
32	Pelham	13,795	0.9	7
33	Hanover	11,519	0.7	8.3
34	Exeter	15,305	1	7.4
35	New Ipswich	5,302	1.3	5.8
36	Fremont	4,821	1.2	6.8
37	Newmarket	9,160	1.6	5.2
38	Amherst	11,232	0.5	11.3
39	Goffstown	17,978	1.3	7.5
40	Rindge	6,235	0.8	10.7
41	Hudson	25,232	1	9.7
42	Londonderry	26,627	1.5	7.3
43	North Hampton	4,510	0.9	10.4
44	Peterborough	6,536	0.8	11.8
45	Derry	33,724	1.3	9.3
46	Dover	31,600	1.1	11.2
47	Milton	4,636	1.1	11.4
48	Berlin	10,263	1.6	10
49	Wakefield	5,708	1.8	9.3
50	Alton	5,353	1.7	9.7
51	Wolfeboro	6,286	2.4	6.8
52	Nashua	88,596	1.4	12.9
53	Farmington	6,902	1	15.5
54	Hooksett	14,283	1.3	14.5
55	Hampton	15,679	2.2	10.1
56	Salem	29,297	1	16.2
57	Franklin	8,621	2.3	9.6
58	Gilford	7,216	1.1	16.5
59	Northfield	4,864	2.5	9.9
60	Charlestown	4,988	3.4	5
61	Jaffrey	5,232	3.1	7.1
62	Epping	7,114	2.1	12.9
63	Portsmouth	22,038	1.6	15.5
64	Plymouth	6,722	1.8	15.3
65	Pembroke	7,157	2.9	9.5
66	Newport	6,347	1.9	15.8
67	Lebanon	13,578	1.6	17.4
68	Meredith	6,446	2.3	13.7
69	Seabrook	8,941	1.8	17.3
70	Plaistow	7,773	0.9	22.9
71	Belmont	7,329	1.6	20.2
72	Hillsborough	5,936	3	13
73	Conway	10,153	1.8	20.1
74	Littleton	5,872	1.2	23.8
75	Barnstead	4,674	4.3	9.6
76	Concord	43,071	2.4	19.7
77	Keene	22,870	2	24.5
78	Haverhill	4,557	3.1	19.5
79	Somersworth	11,920	2.5	26.8
80	Claremont	12,930	4.5	19.1
81	Laconia	16,658	2.4	33.3
82	Rochester	30,947	3.8	29.1
83	Manchester	111,422	5.9	25.8
