51	Pequannock Township	15,177	0.2	6.1
52	Ridgefield	11,329	0.3	6
53	Cranford Township	24,353	0.3	6
54	West Caldwell Township	10,912	0.2	6.2
55	Barnegat Township	22,777	0.6	5.3
56	West Milford Township	26,560	0.4	5.9
57	Hillsborough Township	39,796	0.4	6
58	Colts Neck Township	9,944	0.8	5.1
59	South Brunswick Township	46,340	0.5	6
60	Summit	22,125	0.3	6.5
61	Ramsey	15,126	0.1	7
62	East Greenwich Township	10,504	0.4	6.5
63	Cliffside Park	25,001	0.6	6
64	Jackson Township	56,706	0.5	6.3
65	Westwood	11,219	1	5.1
66	Westfield	30,011	0.1	7.2
67	Cedar Grove Township	12,566	0.3	6.8
68	Waterford Township	10,641	0.7	6
69	East Windsor Township	27,401	0.7	6.2
70	Princeton	31,856	0.3	7
71	Maywood	9,763	0.4	7
72	Scotch Plains Township	24,423	0.4	7
73	Stafford Township	27,141	0.6	6.7
74	Point Pleasant	18,474	0.8	6.2
75	Bridgewater Township	45,050	0.4	7.3
76	Wanaque	11,960	0.9	5.9
77	Palisades Park	20,888	0.8	6.2
78	Marlboro Township	40,338	0.6	6.7
79	Parsippany-Troy Hills Township	52,447	0.6	6.9
80	Holmdel Township	16,621	0.2	7.8
81	Howell Township	52,672	0.7	6.7
82	Old Bridge Township	66,321	0.4	7.4
83	Roselle Park	13,698	0.4	7.6
84	Montville Township	21,396	0.2	8.1
85	Fort Lee	37,729	0.6	7.2
86	Springfield Township, Union County	17,762	0.2	8.1
87	Lyndhurst Township	22,384	0.5	7.5
88	Sayreville	45,062	1	6.7
89	Nutley Township	28,596	0.9	6.9
90	Middlesex Borough	13,704	0.8	7.3
91	Florence Township	12,748	1	7
92	Hawthorne	18,874	0.1	9.4
93	Piscataway Township	57,342	0.9	7.4
94	Metuchen	14,262	0.4	9
95	East Hanover Township	11,084	0.2	9.6
96	Ridgefield Park	13,028	1	7.6
97	North Arlington	15,868	0.3	9.3
98	Haddonfield	11,253	0.5	8.9
99	Little Ferry	10,895	0.6	8.6
100	Aberdeen Township	18,378	0.6	8.9
101	South River	16,159	1.2	7.5
102	Fair Lawn	33,413	0.6	9.1
103	Lacey Township	28,654	0.6	9
104	Berkeley Township	41,331	0.6	9.1
105	Wall Township	25,955	0.2	10.1
106	Little Falls Township	14,306	1.1	7.9
107	Lakewood Township	102,915	1.3	7.6
108	North Bergen Township	63,166	1.6	6.9
109	Bordentown Township	12,323	1.1	8
110	Tinton Falls	17,754	0.3	10.3
111	Rahway	30,113	1.1	8.1
112	Livingston Township	29,820	0.8	9.3
113	Wallington	11,676	0.4	10.3
114	Rutherford	18,617	1	8.8
115	Pompton Lakes	11,062	1.4	8
116	West Windsor Township	28,277	0.4	10.5
117	Lower Township	21,617	1.6	7.5
118	Hanover Township	14,583	0.3	11
119	Delran Township	16,579	0.5	10.6
120	Franklin Township, Somerset County	66,624	0.7	10.1
121	Little Egg Harbor Township	21,087	0.2	11.4
122	Hammonton	14,311	0.6	10.4
123	Rockaway Township	25,328	0.2	11.6
124	Medford Township	23,558	2	7.5
125	Teaneck Township	40,939	1.1	10.2
126	Beachwood	11,146	0.5	11.7
127	Evesham Township	45,354	0.7	11.2
128	Lodi	24,720	1.1	10.3
129	Highland Park	13,989	0.6	11.9
130	Hazlet Township	19,970	1.2	10.4
131	Woodland Park	12,799	0.8	11.6
132	Edgewater	12,318	1.1	11.1
