Los Alamos	8,577	0.566667	8.3
Anthony	18,883	1.3	6.26667
Grants	9,313	1.675	3.25
Rio Rancho	8,982	3.5	19.3667
Lovington	97,394	2	20.1333
Bosque Farms	11,175	1.4	25.45
Raton	3,789	5.6	15.9333
Edgewood	5,960	1.86667	32.5333
Aztec	3,911	2.3	25.5
Truth or Consequences	6,538	5.66667	28.4
Ruidoso	5,875	4.06667	28.8667
Alamogordo	7,718	3.3	28.4667
Portales	31,332	3.46667	32.2667
Carlsbad	11,768	3.93333	34.2333
Las Cruces	29,158	4.8	36.4333
Santa Fe	102,203	3.25	41.15
Las Vegas	84,176	3.73333	38.7
Hobbs	13,084	8.26667	30.6333
Bernalillo	38,320	6.23333	44.0667
	9,841	9.73333	39.2
