21	Rye Brook Village	9,622	0	4.8
22	Floral Park Village	16,131	0.5	2.9
23	Rye	16,050	0.4	3.5
24	Eastchester Town	20,452	0.2	4.4
25	Goshen Town	8,703	0.2	4.8
26	East Fishkill Town	29,623	0.3	4.6
27	Carmel Town	34,382	0.5	3.8
28	Long Beach	33,801	0.9	2.4
29	East Aurora-Aurora Town	13,900	0.1	5.7
30	Tarrytown Village	11,617	0.6	3.5
31	Mamaroneck Town	12,336	0	6.1
32	Hyde Park Town	21,046	0.4	4.3
33	Pleasantville Village	7,352	0.3	5.2
34	Canton Village	6,510	0.5	4.5
35	North Castle Town	12,454	0.5	4.4
36	Yorktown Town	37,101	0.4	5
37	Marlborough Town	8,663	0.6	4.3
38	Montgomery Town	9,122	0.9	3.3
39	Scarsdale Village	18,214	0.1	6.8
40	Baldwinsville Village	7,976	0.3	6.4
41	Cairo Town	6,404	0.5	5.6
42	Lynbrook Village	19,745	0.6	5.3
43	Schodack Town	11,747	0.9	4.1
44	Warwick Town	18,450	0.5	6.5
45	Ramapo Town	95,068	0.8	5.7
46	Cicero Town	28,992	0.4	7.5
47	Port Chester Village	29,814	0.7	6.2
48	Mamaroneck Village	19,496	0.7	6.5
49	Fishkill Town	21,529	0.5	7.5
50	Dobbs Ferry Village	11,182	0.3	8.3
51	Blooming Grove Town	11,888	0.7	6.8
52	Ossining Village	25,452	0.6	7.4
53	Mount Pleasant Town	26,506	0.5	7.8
54	Rockville Centre Village	24,960	0.8	7.2
55	Hastings-on-Hudson Village	8,030	0.2	9.6
56	Lloyd Town	10,510	0.9	7.1
57	Port Washington	19,555	0.3	9.6
58	East Hampton Town	19,992	0.6	8.8
59	Ogden Town	20,288	0.4	9.6
60	Webster Town and Village	45,023	0.8	8
61	Deerpark Town	7,759	0.8	8.1
62	Macedon Town and Village	8,960	0.3	10.3
63	Hudson Falls Village	7,071	1.4	6.1
64	Monroe Village	8,665	0.5	10.2
65	Pelham Village	7,036	0.9	8.5
66	Crawford Town	9,217	0.8	9.1
67	Geneseo Village	8,184	0.5	10.5
68	Potsdam Village	9,723	0.5	10.7
69	Lancaster Town	37,776	0.6	10.7
70	Lewiston Town and Village	15,922	0.8	9.7
71	New Rochelle	80,340	1.2	8.3
72	Hamburg Village	9,735	0.8	10
73	Coeymans Town	7,416	0.9	9.6
74	Camillus Town and Village	24,462	0.6	11.2
75	Manlius Town	24,417	0.7	10.6
76	Amityville Village	9,526	0.8	10.4
77	Walden Village	6,727	1.2	9.1
78	Fallsburg Town	12,207	1.2	8.9
79	Southold Town	20,092	0.8	10.8
80	Rensselaer City	9,249	1.2	9.4
81	Southampton Town	51,231	1	10.2
82	Horseheads Village	6,464	0	14.7
83	Orchard Park Town	29,760	0.9	11.1
84	Hornell	8,161	0.5	13.7
85	North Greenbush Town	12,216	0.7	12.8
86	Kenmore Village	15,178	0.9	12.2
87	New Paltz Town and Village	14,075	1.4	10.3
88	Freeport Village	43,597	1.6	9.7
89	Evans Town	16,220	1.4	10.9
90	Brockport Village	8,290	1.7	10
91	Bethlehem Town	35,704	0.8	13.9
92	Glenville Town	21,670	0.9	13.5
93	Amsterdam	17,737	1.4	11.3
94	Glens Falls	14,403	1.7	10.4
95	Garden City Village	22,749	0.4	15.7
96	New Windsor Town	28,137	1.4	11.7
97	Peekskill	24,365	2.1	9.2
98	Fredonia Village	10,475	0.7	15.2
99	Clarkstown Town	81,994	0.9	14.7
100	Scotia Village	7,700	1.3	13.9
101	West Seneca Town	45,721	1.4	13.7
102	North Tonawanda	30,325	1.5	13.2
103	Amherst Town	121,343	1.2	14.6
104	Depew Village	15,159	0.8	16.5
105	Tonawanda Town	57,256	1.6	13.3
106	Brighton Town	36,470	0.9	16.8
107	Beacon	14,241	1.8	13.3
108	Vestal Town	28,223	0.6	18.5
