Lewisboro	12,823	0	0.1
Sleepy Hollow Village	10,267	0.3	0.85
Kirkland	8,355	0.0666667	2.03333
Highlands Town	8,328	0.133333	0.9
Briarcliff Manor	8,044	0.0666667	2.46667
Stillwater	7,302	0.133333	3.3
Malverne	8,626	0.233333	2.63333
Plattekill	10,235	0.733333	4.33333
New Castle	18,197	0.1	3
Bedford	18,034	0.3	2.7
Northport	7,362	0.433333	5.6
Harrison Town	28,741	0	4
Chester	8,053	0.633333	1.63333
Irvington	6,631	0.366667	2.73333
Whitestown	9,175	0.1	3.1
Tuckahoe	6,677	0.233333	4.86667
Kent	13,326	0.133333	4.2
Eden	7,667	0.233333	4.93333
Stony Point	15,667	0.4	4.43333
Glen Cove	27,574	0.1	2.375
