21	Twinsburg	18,983	0.6	5.7
22	Loveland	12,876	0.4	7.9
23	New Franklin	14,157	0.3	8.5
24	Powell	13,455	0.4	8.1
25	Hilliard	37,184	0.9	6.5
26	Solon	22,948	0.4	9.2
27	Dublin	48,570	0.6	8.5
28	Dover	12,752	0.9	7.6
29	Clayton	13,209	0.4	10.2
30	Montgomery	10,807	0.6	9
31	Aurora	16,047	0.6	9.2
32	Upper Arlington	35,572	0.3	11
33	American Township	12,094	0.2	11.9
34	Madison Township, Franklin County	19,241	1	7.7
35	Goshen Township, Clermont County	16,177	0.7	9.5
36	Perrysburg	21,585	0.4	11.1
37	Perrysburg Township	12,935	0.6	10.3
38	Fairview Park	16,248	1	8.6
39	Shawnee Township	12,061	1	8.6
40	Centerville	23,757	0.3	12.3
41	New Philadelphia	17,445	0.4	12.2
42	Harrison	11,513	0.2	13.5
43	Vermilion	10,436	0.4	12.6
44	North Olmsted	31,653	0.4	12.5
45	Miami Township, Clermont County	42,493	0.8	10.5
46	Strongsville	44,819	0.3	14.3
47	Medina	26,128	1	10.4
48	Wickliffe	12,734	0.7	12.2
49	Bowling Green	32,017	0.7	12.1
50	Streetsboro	16,411	0.6	13.1
51	Riverside	25,083	1	11.4
52	Lyndhurst	13,519	1	11.4
53	Madison Township, Lake County	15,626	0.7	14.3
54	Stow	34,762	0.7	14.7
55	Parma	78,968	1.6	10.7
56	Struthers	10,193	1.1	13.8
57	Lakewood	50,078	1.2	13.5
58	Mentor	47,118	0.9	15
59	Pickerington	20,716	1.4	12.7
60	Amherst	12,100	0.9	15.5
61	Kent	30,065	1.2	14
62	Kettering	55,038	1	15.2
63	Gahanna	35,596	0.9	16.5
64	North Canton	17,265	1.1	15.5
65	Wadsworth	23,744	1.1	15.6
66	Tallmadge	17,550	1.1	16.5
67	Norton	12,003	0.9	17.9
68	Norwalk	16,800	0.8	18.5
69	Ashland	20,446	1	18
70	Delaware	39,944	1.6	15
71	Union Township, Clermont County	48,187	0.7	19.7
72	Willoughby	22,949	1.3	16.8
73	Westerville	40,225	1.1	17.8
74	Macedonia	12,056	0.2	22.5
75	Eastlake	18,111	0.4	22
76	Athens	25,356	1.2	17.9
77	Howland Township	16,449	0.6	21.3
78	Brimfield Township	10,330	0.5	22.5
79	University Heights	12,981	1.6	16.7
