Broadview Heights	19,236	0.05	0.5
Sagamore Hills	10,956	0	1.475
Olmsted Township	13,425	0.1	3.06667
Poland Township	11,888	0.233333	4.16667
Rocky River	20,253	0.2	3.6
North Ridgeville	34,025	0.4	4.3
Clearcreek Township	15,765	0.433333	4.6
Brunswick Hills Township	10,418	0.366667	3.5
Montville Township	11,831	0.133333	4.4
Seven Hills	11,662	0.3	4.76667
Hudson	22,242	0.233333	4.96667
Hamilton Township, Warren County	23,330	0.166667	1.3
Springboro	18,789	0.433333	5.83333
North Royalton	30,324	0.166667	1.33333
Brecksville	13,652	0.366667	3.7
Mayfield Heights	18,648	0.25	4.025
Brunswick	34,954	0.633333	5.63333
New Albany	11,192	0.366667	10.7333
Mason	33,583	0.266667	9.53333
Berea	18,838	0.5	7.73333
