21	Jenks	23,473	1.1	13.1
22	Hominy	3,412	0.9	14.7
23	Collinsville	7,098	1.3	13.7
24	Vinita	5,348	0.7	16.5
25	Sayre	4,508	1.6	12.9
26	Fort Gibson	4,021	1.7	12.2
27	Watonga	2,848	1.8	12.3
28	Bixby	27,654	1.2	15.2
29	Holdenville	5,514	1.3	15.2
30	Fairview	2,623	2.3	10.3
31	Edmond	93,557	1.4	15.2
32	Heavener	3,272	2.4	10.4
33	Elk City	11,544	0.6	20
34	Jones	3,159	1.6	15.2
35	Nichols Hills	3,912	0.5	21
36	Tonkawa	3,040	2	14.5
37	Mangum	2,746	2.9	9.8
38	Choctaw	12,724	1.7	16.5
39	Mannford	3,195	3.4	7.8
40	Perry	4,908	1.6	17.1
41	McLoud	4,708	2.5	12.5
42	Cache	2,864	2.1	15
43	Coweta	9,706	2.1	15.9
44	Seminole	7,237	1.5	18.7
45	Chandler	3,127	1.9	16.9
46	Calera	2,338	2.6	13.7
47	Newcastle	10,266	0.8	23.4
48	Kiefer	2,010	2	17.4
49	Nicoma Park	2,492	0.8	23.7
50	Yukon	27,452	1.7	19.1
51	Broken Arrow	109,663	1.4	20.8
52	Drumright	2,832	1.1	23
53	El Reno	19,272	2.2	17.7
54	Noble	6,772	2.2	18.3
55	Walters	2,399	1.7	21.3
56	Moore	62,453	1.7	21
57	Prague	2,415	1.7	21.5
58	Kingfisher	4,912	2	20.8
59	Weatherford	11,981	2.1	20.9
60	Roland	3,794	2.1	21.1
61	Blackwell	6,684	3	16.6
62	Owasso	37,220	1.7	23
63	Altus	18,712	2.3	20.6
64	Nowata	3,635	2.2	21.7
65	Henryetta	5,628	1.6	25.2
66	Bristow	4,214	1.7	24.9
67	Harrah	6,504	2.3	21.7
68	Perkins	2,842	0.7	31
69	Marlow	4,410	1.1	29.3
70	Wagoner	8,986	2.8	20.9
71	Sapulpa	20,948	2	25.3
72	Stillwater	50,445	3.3	19
73	Stroud	2,747	1.1	30.9
74	Marietta	2,751	2.9	21.8
75	Dewey	3,477	2.9	22.4
76	Jay	2,532	2	27.3
77	Spencer	4,009	3.7	18.7
78	Glenpool	14,273	4.6	15.1
79	Tuttle	7,318	3.1	22.8
80	Sand Springs	20,056	0.9	34.1
81	Skiatook	8,020	2.4	27.4
82	Duncan	22,351	1.7	31
83	Pawhuska	3,349	3.9	20.3
84	Sallisaw	8,427	1.9	30.6
85	Woodward	12,323	2.8	26.7
86	The Village	9,475	3	26.2
87	Tecumseh	6,628	2.7	27.5
88	Norman	124,577	2.7	27.8
89	Newkirk	2,207	4.5	19
90	Bethany	19,448	2.5	29.7
91	Claremore	18,748	2.5	29.8
92	Lexington	2,150	3.7	24.2
93	Madill	3,957	1	38.4
94	Sulphur	5,005	3.2	27.8
95	Stigler	2,742	3.6	25.9
96	Grove	7,122	1.8	35.2
97	Lindsay	2,818	2.5	33
98	Enid	50,214	3.4	28.4
99	Chickasha	16,314	3.9	26.7
100	Guthrie	11,519	3.4	29.4
101	Davis	2,861	2.8	32.5
102	Midwest City	57,710	3.1	31.1
103	Eufaula	2,898	3.8	28
104	Tahlequah	16,877	1.4	40.6
105	Atoka	3,086	2.3	36
106	Bartlesville	36,473	2.8	33.3
107	Cushing	7,687	2.9	33.4
108	Wilburton	2,615	3.4	30.6
109	Pawnee	2,128	4.7	25.8
110	Wewoka	3,300	4.5	26.7
111	Chouteau	2,076	3.4	33.2
112	Checotah	3,138	3.5	35.7
113	Frederick	3,603	4.2	33
114	Clinton	9,163	6.3	22.2
115	Miami	13,162	4.2	33.4
116	Pryor Creek	9,369	7	22.3
117	Warr Acres	10,372	4.1	37.2
118	Ada	17,339	4.8	36.9
119	Okemah	3,190	5	38.9
120	Purcell	6,470	4.9	39.3
121	Durant	18,043	2.9	50.5
122	Poteau	8,913	4	46.2
123	Pauls Valley	6,180	3.7	48.1
124	Okmulgee	11,919	5.2	46
125	Muldrow	3,203	8.7	29.7
126	Ponca City	24,066	7	39.5
127	Ardmore	24,817	6.4	43.6
128	Stilwell	4,007	5.5	51.7
129	Idabel	6,860	4.7	56
130	Lawton	93,140	9	35.8
131	Oklahoma City	652,936	8.7	40.3
132	Catoosa	7,006	6.1	55
133	Del City	21,859	7.9	48.6
134	McAlester	17,999	6.4	57.3
135	Muskogee	37,659	10	40.8
136	Broken Bow	4,069	4.7	69.3
137	Anadarko	6,598	10.8	41.2
138	Tulsa	403,147	10.7	54.3
139	Shawnee	31,422	13.5	51.4
