21	Ashland	21,269	1.8	33
22	The Dalles	15,740	2.1	29.6
23	Baker City	9,779	1.9	33.1
24	Pendleton	16,681	2.6	27
25	McMinnville	34,669	2.4	30.7
26	Dallas	16,561	2.7	29.7
27	Hermiston	17,517	2.4	33.3
28	Redmond	30,597	2.4	36.1
29	Newport	10,684	2.8	32.4
30	Oregon City	36,918	3.6	23.5
31	Springfield	62,786	2.9	33.8
32	Cottage Grove	10,241	2.6	40.5
33	Grants Pass	37,814	3.6	35.5
34	Eugene	170,771	3.9	32.2
35	Klamath Falls	22,242	4.1	33.5
36	Coos Bay	16,343	2.8	47.4
37	Gresham	111,797	4.2	34.2
38	Prineville	10,184	4.2	36.4
39	Woodburn	26,031	4.3	37
40	Salem	172,022	4.2	41.7
41	Roseburg	22,366	2.6	59.8
42	Medford	82,800	4.9	53.9
43	Ontario	10,958	5.1	52.7
44	Portland	657,260	5.2	54.6
