West Linn	26,934	0.3	2.9
Lake Oswego	39,557	0.566667	12.1333
Monmouth	10,457	1.3	15.4333
La Grande	13,186	1.3	23
Independence	10,280	2.16667	16.9667
St. Helens	13,800	2	19.2333
Newberg-Dundee	27,122	1.4	10.5
Silverton	10,477	1.3	20.4667
Milwaukie	20,873	1.53333	19.5667
Forest Grove	24,560	2.06667	18.8667
Bend	97,403	1.46667	21.5667
Beaverton	98,616	1.66667	17.6
Canby	17,914	1.76667	12.5
Keizer	39,727	1.93333	21.2
Central Point	18,402	2.1	26.4
Hillsboro	109,121	2.66667	19.4
Corvallis	58,491	1.4	28.0667
Tualatin	27,671	1.83333	27.8
Cornelius	12,580	2.76667	20.6333
Tigard	53,880	2.13333	28.3
