21	Turtle Creek	5,192	0.4	2.3
22	Adams Township, Butler County	14,105	0.2	3.3
23	South Fayette Township	15,788	0.1	3.7
24	Silver Spring Township	18,078	0.2	3.7
25	West Deer Township	11,973	0.1	4
26	Franconia Township	13,343	0.2	3.5
27	Millcreek Township, Lebanon County	5,714	0	4.4
28	East Vincent Township	7,232	0	4.6
29	Upper Allen Township	20,123	0.3	3.4
30	Middlesex Township, Butler County	5,636	0.4	3.4
31	Schuylkill Township, Chester County	8,658	0.2	3.8
32	South Londonderry Township	8,427	0.1	4.3
33	Towamencin Township	18,443	0.7	2.4
34	Solebury Township	8,585	0.3	3.5
35	Northampton Township	39,289	0.3	3.7
36	Cecil Township	12,633	0.2	4.3
37	Upper Uwchlan Township	11,506	0	4.9
38	Swoyersville	4,949	0.6	2.8
39	Upper Saucon Township	17,121	0.1	4.6
40	Ligonier Township	6,400	1.3	0.8
41	Clarion	5,316	0.6	3.2
42	Wright Township	5,611	0	5.2
43	Upper Gwynedd Township	15,958	0.6	3.3
44	Whitehall	13,703	0.7	3
45	Bellefonte	6,325	0.2	4.7
46	Murrysville	19,759	0.2	4.7
47	Lower Salford Township	15,440	0.5	3.9
48	Penn Township, Westmoreland County	19,297	1.6	0.1
49	McCandless	28,475	0.2	4.9
50	Fairview Township, Luzerne County	4,485	0	5.6
51	Upper Makefield Township	8,479	0.6	3.5
52	Lititz	9,448	0.8	2.6
53	West Vincent Township	5,572	0.2	5
54	Northwest Lancaster County Regional	20,029	0.2	5
55	Northern Lancaster County Regional	36,089	0.6	3.8
56	New Hanover Township	13,201	0.2	5.2
57	New Britain Township	11,252	0.3	5
58	Ferguson Township	19,551	0.4	4.5
59	West Cocalico Township	7,469	0.9	2.7
60	Conemaugh Township, Somerset County	6,865	0.9	2.9
61	Brecknock Township, Berks County	4,640	0.6	3.9
62	Punxsutawney	5,764	0.9	3.1
63	Northern Regional	35,447	0.2	5.7
64	Hampden Township	30,399	0.3	5.1
65	Hampton Township	18,318	0.8	3.7
66	Newtown Township, Bucks County	22,880	0.2	5.6
67	Kennett Township	8,317	0.2	5.5
68	Pennridge Regional	11,013	0.5	4.8
69	East Coventry Township	6,778	0.1	5.9
70	East Pikeland Township	7,345	0.5	4.6
71	Warwick Township, Bucks County	14,618	0.8	3.7
72	East Fallowfield Township	7,584	1.2	2.5
73	Pleasant Hills	8,113	0	6.8
74	East Pennsboro Township	21,750	0.5	5.2
75	Neshannock Township	9,223	0.5	5.1
76	Buffalo Valley Regional	12,660	0.3	5.9
77	Lower Windsor Township	7,574	0.8	4.4
78	East Brandywine Township	8,765	0.8	4.3
79	Upper Southampton Township	15,038	0.4	5.8
80	Collegeville	5,134	0	7.2
81	Elizabeth Township	13,087	0.7	4.8
82	South Lebanon Township	9,935	0.3	6.2
83	Douglass Township, Montgomery County	10,644	0.8	4.7
84	Plumstead Township	14,244	0.8	4.6
85	Central Bucks Regional	15,584	0.6	5.3
86	Upper St. Clair Township	19,758	0.4	6
87	Kingston Township	6,898	1.3	2.9
88	Amity Township	13,076	0.3	6.4
89	Swarthmore	6,266	0.6	5.3
90	Chartiers Township	7,937	0.4	6.2
91	North Middleton Township	11,682	0.5	5.7
92	Sugarcreek	4,969	0.6	5.4
93	Upper Macungie Township	24,995	0.3	6.6
94	Earl Township	7,243	0.3	6.6
95	West Lampeter Township	16,092	0.6	5.8
96	Lower Makefield Township	32,768	0.3	6.7
97	Moore Township	9,343	0.4	6.3
98	West Earl Township	8,503	0.4	6.6
99	Jessup	4,397	1.1	3.9
100	Hatboro	7,446	0.9	4.6
101	Camp Hill	7,946	0.3	7
102	Peters Township	22,136	0.5	6.1
103	Horsham Township	26,615	0.3	7.1
104	Grove City	7,969	1.1	4.1
105	Lower Frederick Township	4,884	0.6	5.9
106	Blair Township	4,503	0.7	5.8
107	Forks Township	15,545	0.5	6.3
108	Evans City-Seven Fields Regional	4,488	0.2	7.4
109	Dallas Township	9,259	0.8	5.5
110	Western Berks Regional	4,833	1.2	3.9
111	Baldwin Borough	19,586	0.9	5.3
112	Birdsboro	5,167	0.6	6.4
113	Southern Chester County Regional	14,974	1.1	4.7
114	East Cocalico Township	10,569	0.8	6
115	East Petersburg	4,526	0.4	7.1
116	Penn Township, Butler County	4,916	0.2	7.9
117	Newtown Township, Delaware County	13,571	0.4	7.4
118	Northampton	9,884	0.2	8
119	Uwchlan Township	19,044	0.8	5.8
120	State College	58,781	0.3	7.6
121	Patton Township	16,142	0.3	7.7
122	Shippensburg	5,584	0.2	8.2
123	Upper Nazareth Township	6,947	0.9	5.9
124	Warrington Township	24,582	0.7	6.4
125	Bethel Township, Delaware County	9,219	0.7	6.7
126	Tunkhannock Township, Wyoming County	6,147	0.5	7.3
127	Castle Shannon	8,153	0.7	6.5
128	Whitemarsh Township	17,966	0.5	7.5
129	Clarks Summit	6,210	0.5	7.6
130	Carroll Township, York County	6,440	0.3	8.2
131	White Oak	7,646	0.9	6.1
132	Newport Township	5,386	0.6	7.4
133	Jeannette	9,127	1.1	5.6
134	Tredyffrin Township	29,575	0.4	8
135	Olyphant	5,026	2	2.6
136	Southwestern Regional	17,789	1.3	5.1
137	Whitpain Township	19,326	0.3	8.5
138	Blakely	6,201	1	6.3
139	Eastern Adams Regional	7,379	1.2	5.4
140	New Cumberland	7,323	0.5	7.8
141	East Whiteland Township	12,085	0.2	8.9
142	Washington Township, Westmoreland County	7,103	1.3	5.3
143	West Mifflin	19,773	1.5	4.7
144	West Manheim Township	8,497	0.4	8.6
145	New Sewickley Township	7,249	0.7	7.4
146	Robeson Township	7,432	1.2	5.7
147	Bethel Park	32,417	0.3	8.7
148	Buffalo Township	7,294	1.5	4.7
149	Lower Heidelberg Township	6,071	1.8	3.6
150	Lower Providence Township	27,051	1.2	5.7
151	Mount Lebanon	32,239	0.7	7.5
152	Shaler Township	28,039	0.7	7.5
153	Manor Township, Lancaster County	21,090	1.1	6.1
154	Butler Township, Luzerne County	9,788	0.8	7.3
155	Lower Saucon Township	10,824	0.9	7
156	West Hills Regional	10,032	0.6	8.2
157	Westtown-East Goshen Regional	32,253	1.2	6
158	Lower Moreland Township	13,204	0.3	9.2
159	Washington Township, Northampton County	5,228	0.8	7.7
160	Lower Burrell	11,155	0.8	7.5
161	Greene County Regional Police Department	4,492	0.2	9.6
162	Radnor Township	31,935	1	7
163	Conewago Township, Adams County	7,184	0.8	7.5
