Luzerne Township	5,940	0	0
Scott Township, Lackawanna County	4,753	0.0666667	0
Cornwall	4,326	0.3	0.166667
Adams Township, Cambria County	5,581	0	0.666667
East Marlborough Township	7,416	0	3.13333
Upper Yoder Township	5,093	0.2	0.45
Reading Township	5,837	0.2	0.775
Jackson Township, Luzerne County	4,631	0.0666667	0.5
Fox Chapel	5,297	0.133333	3.8
South Park Township	13,332	0.15	0.925
South Heidelberg Township	7,378	0.15	3.325
Butler Township, Schuykill County	5,625	0	0.933333
Upper Providence Township, Delaware County	10,478	0.133333	0.566667
Kiskiminetas Township	4,496	0.533333	2.6
Spring Township, Centre County	7,905	0.133333	0.666667
Bedminster Township	7,241	0.333333	3.53333
Indiana Township	7,195	0.233333	3.46667
Willistown Township	10,983	0.075	1.675
Buckingham Township	20,311	0.0333333	4.1
Franklin Park	14,706	0.133333	3.86667
