21	North Augusta	23,161	1.9	38.6
22	Summerville	51,565	2.7	33.7
23	Travelers Rest	5,183	0.6	47.5
24	Lexington	21,680	3.6	30.5
25	Williamston	4,216	3.8	30.8
26	Seneca	8,371	4.8	25.7
27	Honea Path	3,782	2.1	43.4
28	Woodruff	4,253	3.5	35
29	Greer	31,722	4.2	36.1
30	Rock Hill	74,049	4.9	37.7
31	Irmo	12,413	5.2	36
32	Abbeville	5,059	6.5	28.7
33	Hardeeville	6,561	6.9	27.3
34	Moncks Corner	11,484	5.9	35.6
35	Greenville	69,608	5.3	40.4
36	Conway	24,784	5.7	38.7
37	Beaufort	13,920	5.8	41.7
38	Lyman	3,557	8.4	28.1
39	Bennettsville	7,898	8.1	33.7
40	Easley	21,203	5	59.1
41	Forest Acres	10,375	4.8	63
42	Mullins	4,350	6	56.8
43	Cayce	14,238	7.9	46.4
44	Columbia	133,540	7.4	50.6
45	York	8,203	8.7	44.7
46	Newberry	10,293	8.8	44.4
47	Clinton	8,498	10.1	40
48	Sumter	39,898	9.2	46.9
49	North Charleston	112,840	9.2	58.2
50	Chester	5,394	12.1	42.1
51	Union	7,748	9.4	59.5
52	Gaffney	12,816	8.1	70.8
53	Laurens	8,868	9.7	62.5
54	Florence	37,819	9.6	65.1
55	Georgetown	8,819	11.1	58.1
56	Lake City	6,668	11.2	57.6
57	Cheraw	5,611	10.3	68.8
58	West Columbia	17,368	10.4	74.4
59	Darlington	5,960	11.2	69.3
60	Camden	7,215	12.9	60.7
61	Orangeburg	12,820	13.3	58.5
62	Barnwell	4,385	12.5	65.5
63	Manning	3,958	8.3	92.5
64	Batesburg-Leesville	5,380	17.1	47.4
65	Greenwood	23,265	16.8	68.5
66	Marion	6,416	15.3	81.7
67	Hartsville	7,608	15	86.5
68	Myrtle Beach	33,687	14	105.5
