Isle of Palms	4,396	0.166667	20.1333
Port Royal	13,227	2.46667	20.2
Mount Pleasant	89,733	1.63333	15.3
Bluffton	22,578	1.86667	14.3333
Tega Cay	10,763	0.666667	20.2
Edgefield	4,756	1.4	10.3
Hanahan	26,060	2.43333	16.0667
Mauldin	25,418	2.1	17.7333
Fort Mill	18,618	2.26667	19.1667
Central	5,180	0.525	15.175
Clover	6,234	2.56667	23.9
Walhalla	4,327	2.33333	20.9333
Ridgeland	4,072	2.13333	27.1333
Belton	4,402	2.4	45.0667
Goose Creek	43,545	3.33333	22.2667
Charleston	137,092	2.93333	22.9
Simpsonville	22,641	2.73333	33.9
Saluda	3,636	4.96667	15.7667
Fountain Inn	8,846	3.23333	20.8333
Surfside Beach	4,511	1.63333	46.4
