21	South Pittsburg	3,031	1.6	12.9
22	McKenzie	5,392	1.5	14.1
23	Nolensville	8,545	1.9	14.6
24	Kingston	5,794	2.9	10.7
25	Fairview	8,898	1.7	15.7
26	Maryville	28,961	1.6	16.6
27	Hendersonville	58,437	1.9	15.6
28	Millersville	6,914	3.2	10.7
29	Collierville	50,985	1.6	17
30	Greenbrier	6,899	3.5	9.7
31	Erwin	5,840	2.9	12.3
32	Mount Juliet	36,397	2	17.3
33	Gallatin	38,450	3.1	14
34	Lafayette	5,318	1.9	20.5
35	Waverly	4,093	2.2	19.3
36	White Bluff	3,535	4.2	11.3
37	Oliver Springs	3,256	1.5	22.1
38	Dandridge	2,981	1	24.5
39	Soddy-Daisy	13,804	1.4	22.9
40	Portland	12,887	2.8	17.6
41	Livingston	4,016	2.7	17.9
42	White House	11,818	3	17
43	Mount Pleasant	4,924	3.9	14
44	Dayton	7,365	1.8	23.8
45	Bartlett	59,407	3.2	18.8
46	Martin	10,418	2.6	23.5
47	Etowah	3,461	4.9	14.7
48	Henderson	6,234	4.3	18
49	Centerville	3,557	3.9	19.7
50	Lenoir City	9,284	2.8	24.6
51	Harriman	6,132	2.3	26.9
52	Jasper	3,317	5.1	15.7
53	Munford	6,090	4.4	18.6
54	Camden	3,500	1.4	30.9
55	Newbern	3,334	3.9	22.2
56	La Vergne	36,167	4.3	22.7
57	Trenton	4,043	4.9	22.5
58	Smithville	4,783	3.8	27.4
59	Red Bank	11,768	4.4	25.2
60	Lewisburg	11,967	6.7	18
61	Algood	4,517	2.9	33.9
62	Paris	10,088	4.5	28.1
63	Somerville	3,213	7.5	17.1
64	Oak Ridge	29,067	5.6	25.3
65	Murfreesboro	140,702	4.4	31.4
66	Goodlettsville	17,000	4.6	31.4
67	Milan	7,640	6.4	25
68	Lebanon	33,181	5.6	28.3
69	Sparta	4,951	2.6	41.4
70	Tullahoma	19,321	5.5	32
71	Bristol	26,863	5.6	31.9
72	East Ridge	21,135	4.7	35.4
73	Clarksville	156,264	6.7	28.9
74	Johnson City	66,795	4.1	39.3
75	Columbia	38,802	6.3	32.1
76	La Follette	6,722	3.9	42.4
77	Hohenwald	3,671	6.8	30.8
78	Humboldt	8,110	5.7	35.4
79	Shelbyville	21,708	7	30.3
80	Cookeville	33,785	4.2	42
81	Oneida	3,673	4.9	39.5
82	Winchester	8,504	6.3	34.1
83	Greeneville	14,867	4.4	42.8
84	Manchester	10,719	5.8	37.4
85	McMinnville	13,668	6.3	35.8
86	Lexington	7,673	5.6	40
87	Madisonville	4,754	4.6	45.9
88	Clinton	10,137	5.5	42.5
89	Springfield	16,896	8.6	31.4
90	Ashland City	4,641	2.8	54.7
91	Elizabethton	13,657	4.5	49.8
92	Fayetteville	7,024	8.3	36.2
93	Bolivar	4,954	10.3	28.3
94	Selmer	4,445	9	33.5
95	Sevierville	16,999	5.4	49
96	Gatlinburg	4,192	3.8	55.6
97	Dunlap	5,111	6.7	46.8
98	Ripley	7,977	8.8	38.7
99	Rogersville	4,264	5.4	52.5
100	Lawrenceburg	10,807	6.2	51.4
101	Knoxville	188,653	8	46.8
102	Morristown	29,884	8.1	46.4
103	Crossville	11,535	8.2	46.6
104	Alcoa	10,506	7.8	49.1
105	Dickson	15,637	8.5	48.4
106	Kingsport	53,465	7.6	52.4
107	Jackson	66,848	10	42.9
108	Pulaski	7,650	7.7	52.7
109	Metropolitan Nashville Police Department	686,492	11.1	40.1
110	Brownsville	9,490	11.2	40.6
111	Rockwood	5,417	6.6	58.7
112	Sweetwater	5,873	8.7	52.3
113	Millington	11,016	9.2	53.2
114	Cleveland	44,954	9.2	55.9
115	Chattanooga	180,397	10.5	60.6
116	Dyersburg	16,382	12.5	57.6
117	Athens	13,627	8.7	76.5
118	Pigeon Forge	6,291	8.7	77.3
119	Newport	6,770	8.9	78.9
120	Savannah	6,968	11.6	71
121	Memphis	652,226	19.4	64.1
