51	Deer Park	34,155	0.9	14.4
52	Helotes	9,456	0.6	16.3
53	Royse City	13,104	1.5	9.8
54	Cedar Park	79,087	1.2	12.2
55	Anna	13,579	1.2	12.8
56	McKinney	189,555	1.5	10.4
57	Santa Fe	13,600	1.3	12.6
58	Pearland	124,179	1	14.8
59	Lumberton	12,948	1.4	11.8
60	Lago Vista	6,923	1.7	10
61	Bridge City	8,208	1.3	13
62	Roma	11,506	2.2	7.1
63	Hewitt	14,556	1.2	14
64	Rockwall	45,183	0.9	16.6
65	Seabrook	13,958	1.8	10.3
66	Buda	18,028	1.1	15.4
67	Graham	8,656	2.3	6.7
68	Sugar Land	89,919	0.9	17.1
69	Bellaire	19,076	1.4	13.9
70	Kennedale	8,587	1.2	15.5
71	League City	108,275	1	16.8
72	Angleton	19,650	1.6	12.3
73	Kyle	46,155	1.7	11.7
74	Alamo Heights	8,629	1.3	15.2
75	Del Rio	36,007	0.6	20.6
76	Benbrook	23,924	1.2	17.2
77	La Porte	35,591	1.8	12.8
78	Highland Park	9,302	0.4	23.1
79	Sulphur Springs	16,111	2.3	9.7
80	Mission	85,368	1.1	18.7
81	Watauga	24,757	1.9	12.9
82	Joshua	8,019	1.6	15.3
83	Carrollton	138,216	1.4	17.1
84	Plano	289,897	1.4	17.1
85	Rowlett	63,863	1.8	14.3
86	Jersey Village	7,974	0.9	20.9
87	The Colony	43,697	2.3	10.9
88	Seagoville	16,981	0.7	22.6
89	Dumas	14,790	1.5	17.5
90	Round Rock	127,354	1.2	19.6
91	Prosper	22,570	2.8	8.3
92	Robinson	11,774	2.1	13.2
93	Stephenville	21,400	1.4	18.9
94	Bonham	10,203	1.7	17.1
95	Waxahachie	36,225	2	14.5
96	Richardson	119,480	1.1	21.1
97	Ingleside	10,453	1.3	19.7
98	Sealy	6,544	2.1	13.9
99	Pearsall	10,525	1.3	19.9
100	Weatherford	31,389	1.8	16.2
101	Roanoke	8,489	2.5	11.7
102	Princeton	10,749	1.8	17
103	North Richland Hills	71,498	1.5	19.4
104	Gatesville	12,377	1.9	16.9
105	Boerne	17,008	1.6	20
106	Bridgeport	6,691	3.3	7.6
107	Portland	17,547	1.4	21.4
108	White Settlement	18,082	1.8	18.7
109	Crowley	15,777	1.1	24
110	McAllen	144,363	0.8	26.7
111	Schertz	41,383	2.3	16.2
112	Alvin	26,798	2.1	17.4
113	Hidalgo	14,133	3.1	10.4
114	Euless	55,731	1.6	21.3
115	Lake Jackson	27,568	1.8	20.1
116	Jacinto City	10,675	1.6	21.7
117	Galena Park	11,000	2.6	14.2
118	Eagle Pass	29,329	1.9	20.5
