21	Clearfield	31,558	1.9	14.6
22	North Salt Lake	21,190	1.3	19.1
23	Brigham City	19,362	1.4	18.7
24	Provo	117,986	1.8	17.7
25	Centerville	18,013	1.3	21.1
26	Cottonwood Heights	34,054	1.3	23.1
27	Layton	78,052	1.7	20
28	St. George	86,202	2.3	16.1
29	Draper	48,518	1.7	20.1
30	Sandy	97,057	1.6	26.9
31	Cedar City	32,242	2.2	23.3
32	West Jordan	115,392	2.6	26.3
33	Tooele	35,065	3	32.6
34	Ogden	87,616	4.8	36.7
35	West Valley	137,132	6.9	35.8
36	Murray	49,675	4.3	60.9
37	Salt Lake City	202,633	7.3	61.8
38	South Salt Lake	25,160	9.6	71.4
