Highland/Alpine (Lone Peak)	29,969	0.166667	6.63333
Spanish Fork	40,095	0.4	10.9667
Kaysville	32,404	0.6	8.66667
Syracuse	30,301	0.7	10.1
North Ogden	19,771	0.4	12.4333
Saratoga Springs	31,786	0.666667	7.4
Pleasant Grove	39,641	0.566667	6.83333
Farmington	25,006	0.6	15.2
Lehi	65,125	1	12.4667
Clinton	22,179	0.6	15.7333
Payson	20,079	0.533333	18.9333
American Fork/Cedar Hills	40,366	0.6	20.9
Bountiful	44,317	1.03333	15.7667
Roy	38,834	1.26667	15.0333
Orem	99,221	0.7	21.4667
Springville	33,824	0.666667	19.9333
Hurricane	17,676	1.23333	17.4667
Washington	27,705	1.36667	18.3333
Logan	51,508	1.1	15.4667
South Jordan	74,321	0.8	21.7667
