21	Big Stone Gap	5,215	0.6	21.1
22	Virginia Beach	451,001	1.2	17.2
23	Dumfries	5,265	1.7	14.1
24	Salem	25,942	0.9	19.4
25	Alexandria	162,588	1.6	15.3
26	Culpeper	18,671	1.7	15.9
27	Strasburg	6,643	2.3	12.3
28	Harrisonburg	54,869	2	15.2
29	Wytheville	7,969	0.6	24.3
30	Farmville	7,778	1.3	20.8
31	Vinton	8,077	1.1	22.3
32	Warrenton	9,912	1.2	21.7
33	Woodstock	5,232	1.7	18.5
34	Manassas	41,888	2.5	15.2
35	Front Royal	15,356	2.1	18.2
36	Radford	17,797	2.9	13.3
37	Waynesboro	22,470	2.2	21.2
38	Christiansburg	22,444	1.9	23.7
39	Staunton	24,584	1.9	24.7
40	Luray	4,806	1.5	28.5
41	Lynchburg	81,603	3.4	19.9
42	Suffolk	90,817	2.8	25.8
43	Richlands	5,256	3	25.9
44	South Hill	4,345	2.8	27.8
45	Winchester	28,128	3.3	24.6
46	Rocky Mount	4,762	2.5	30
47	Charlottesville	48,585	3.6	23.9
48	Bristol	16,613	2.5	30.9
49	Chesapeake	242,310	4	21.4
50	Pulaski	8,720	3.1	29.6
51	Norton	3,914	2.3	35.3
52	Bedford	6,532	3.1	30.5
53	Hopewell	22,562	4.4	24.5
54	Bluefield	4,624	1.3	47.1
55	Ashland	7,876	4.7	25.3
56	Colonial Heights	17,857	2.8	37.9
57	Fredericksburg	28,919	3.7	34.5
58	Franklin	8,100	3.1	43
59	Martinsville	13,025	4.1	36.2
60	Newport News	178,734	5.3	28.8
61	Norfolk	244,347	4.6	34.6
62	Marion	5,615	5.2	32.6
63	South Boston	7,721	3.6	43.4
64	Emporia	5,184	5	37
65	Galax	6,559	4.1	44.5
66	Richmond	229,927	5.2	38.3
67	Roanoke	100,042	4.3	44.3
68	Danville	40,781	5.3	40
69	Petersburg	31,568	7.1	29
70	Portsmouth	94,218	7.9	52.8
