Broadway	3,908	0.533333	6.06667
Bridgewater	6,125	0.3	3
Lexington	7,098	1.03333	7.13333
Berryville	4,361	0.433333	9.1
Vienna	16,660	0.366667	9
Purcellville	10,090	0.866667	5.1
Blacksburg	44,853	0.8	7.96667
Buena Vista	6,272	0.65	8.5
Manassas Park	16,882	1.4	8.6
Falls Church	14,884	1.13333	13.8
Tazewell	4,185	1.6	12.6
Poquoson	12,011	1.63333	12.6667
Herndon	24,697	1.63333	12.5333
Smithfield	8,392	1.43333	14.6
Abingdon	7,949	1.3	18.6
Williamsburg	15,191	1.5	13.1667
Orange	5,016	1.73333	13.3667
Leesburg	56,030	1.95	13.35
Fairfax City	24,259	1.13333	16.1667
Covington	5,462	1.73333	19.1667
