21	Bothell	46,387	1.4	21.9
22	Edmonds	42,565	1.5	19.8
23	Issaquah	38,606	0.8	35.1
24	Bonney Lake	21,192	1.6	21.3
25	Mukilteo	21,638	1.7	20
26	Redmond	65,827	1.4	28.2
27	Bellevue	146,913	1.3	29.2
28	Anacortes	17,130	1.8	22.2
29	Mountlake Terrace	21,549	1.8	25
30	Pasco	74,582	2.2	17.8
31	University Place	33,743	2.1	21.3
32	Kennewick	82,687	1.9	25.7
33	Lacey	50,844	1.9	27
34	Richland	57,450	2.2	22.3
35	Ellensburg	20,616	2	29.2
36	Marysville	70,204	2.4	22.1
37	Sunnyside	16,468	2.2	25.6
38	Bellingham	90,208	2.3	37.1
39	Cheney	12,715	3.4	16
40	Wenatchee	34,169	2.9	24.9
41	Mount Vernon	35,550	2.8	36.8
42	Longview	37,720	2.9	35.8
43	Lynnwood	38,620	2.6	42.6
44	Arlington	19,394	3.1	34.1
45	Monroe	19,003	3.6	24.1
46	Tumwater	23,405	3.6	30
47	Des Moines	31,460	3.5	34.7
48	Puyallup	41,572	2.6	56.2
49	Everett	111,091	3.4	42.2
50	Moses Lake	23,763	3.4	44.1
51	Spokane Valley	99,020	3.5	42.1
52	Renton	102,749	3.2	47.8
53	Walla Walla	32,906	3.9	36.3
54	Kent	129,870	3.5	45.8
55	Vancouver	177,580	4.6	33
56	Yakima	93,959	4.5	35.6
57	Kelso	12,164	4.3	40
58	Auburn	82,381	4.4	40.5
59	Olympia	52,312	4.7	38.6
60	Port Orchard	14,269	4.7	44.4
61	Federal Way	97,762	4.7	45.8
62	Port Angeles	19,992	5.3	41.2
63	Centralia	17,299	5.1	45.9
64	Aberdeen	16,404	5.2	50.8
65	Lakewood	60,694	6.5	46.4
66	Seattle	742,759	6.8	51.5
67	Tacoma	215,687	8.7	52.7
68	Spokane	218,222	8	70.7
69	Tukwila	20,288	7.3	167.6
