21	Mequon	24,311	0.2	9.9
22	Sheboygan Falls	7,945	0.3	9.7
23	Edgerton	5,602	0.4	9.1
24	Oregon	10,549	0.4	9.2
25	Holmen	9,993	0.7	6.9
26	Caledonia	25,047	0.8	6
27	Elm Grove	6,205	0.5	9.3
28	Lake Mills	5,925	1.5	2.4
29	Campbell Township	4,366	0.7	8.5
30	New Berlin	39,763	0.4	10.9
31	Sturgeon Bay	8,889	0.7	8.8
32	Kronenwetter	7,813	1.3	4.6
33	Saukville	4,415	0.5	11.3
34	Mayville	4,862	0.6	10.3
35	Menomonee Falls	37,712	0.6	10.8
36	Colby-Abbotsford	4,085	1.5	4.4
37	Deforest	10,557	0.9	9.3
38	Delafield	7,588	0.4	12.7
39	Summit	4,947	1.2	7.1
40	Waupun	11,260	1.1	8.2
41	Grafton	11,662	0.6	11.7
42	East Troy	4,333	0.9	9.9
43	Waunakee	14,000	1.4	6.6
44	Franklin	36,251	0.4	14.5
45	McFarland	8,544	1.1	9.6
46	Fox Crossing	19,323	1	9.8
47	Mount Horeb	7,462	1.1	9.5
48	Jackson	7,156	1	10.3
49	Berlin	5,365	0.6	13.4
50	Port Washington	11,831	1.6	6.2
51	Milton	5,585	1.1	10.4
52	Sauk Prairie	4,611	0.2	16.9
53	Whitefish Bay	13,933	0.7	13.7
54	Fox Point	6,671	1.2	10.2
55	Ripon	7,823	1.2	10.6
56	De Pere	25,199	1.5	8.1
57	Whitewater	14,561	1.6	7.1
58	Minocqua	4,380	1.6	7.5
59	Reedsburg	9,518	0.8	13.1
60	Oconto	4,421	0.5	16.1
61	Everest Metropolitan	17,392	1.1	11.4
62	Waukesha	72,672	1.3	10.3
63	Monroe	10,575	1	12
64	Mukwonago	8,034	0.7	14.2
65	Kaukauna	16,172	1.5	8.3
66	Burlington	11,039	1.4	9.8
67	Pewaukee Village	8,172	1	12.6
68	Plymouth	8,554	1.2	11.2
69	Beloit Town	7,688	0.9	13.4
70	Hales Corners	7,640	1	12.7
71	Rothschild	5,334	1.7	8.2
72	Marshall Village	3,988	2.5	2.3
73	Mosinee	4,003	1.2	11.5
