Oconomowoc Town	8,692	0.2	1.43333
Mukwonago Town	8,146	0.633333	2
Bayside	4,375	0	6.6
Geneva Town	5,032	0.133333	7.46667
Town of East Troy	4,058	0.733333	3.56667
Cedarburg	11,469	0.2	6
Hobart-Lawrence	14,667	0.366667	4.26667
Muskego	25,118	0.266667	6.96667
Delavan Town	5,322	0.733333	8
Grand Rapids	7,385	0.133333	7.4
Kewaskum	4,139	0.2	9.53333
Hartland	9,302	0.366667	7.66667
Fox Valley Metro	22,006	0.666667	5.93333
Cross Plains	4,331	0.566667	8.73333
Sturtevant	6,966	0.333333	6.1
Cottage Grove	7,024	0.833333	5.66667
Evansville	5,379	0.4	8.76667
Oconomowoc	16,850	0.175	4.575
Twin Lakes	6,077	1.1	8.16667
West Salem	5,055	1.2	7.43333
